,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
s1-0,-0.017359786,0.06818186,-0.022012245,0.06833152,-0.060343932,-0.09068635,0.029369885,-0.005462313,0.05395968,0.0139869675,-0.13562019,-0.3960344,0.104687996,-0.043639313,-0.051852975,-0.078153476,-0.06557825,0.011649243,-0.027315732,-0.1264987,0.072359495,-0.10392908,-0.044934936,-0.040262222,-0.0021191314,0.048744537,0.023572285,0.040388882,-0.10205203,-0.3061439,-0.016838262,0.026372135,0.06084366,-0.087074846,0.024664328,0.085810095,0.06724048,0.007399626,0.048436813,0.03949362,-0.00094800256,0.052481383,-0.025506947,-0.04432258,0.02574623,0.09522256,0.0013491139,0.07545494,-0.105600625,-0.03294657,0.16605431,-0.50782347,0.19123068,-0.042450182,-0.04420486,-0.3476478,-0.21715894,0.08287269,-0.1299135,-0.15248965,0.2824264,0.103507325,-0.15178801,-0.12992433,0.07698284,-0.08803604,0.043303836,0.23715997,-0.014592703,0.019218922,0.4279487,0.23434317,0.47026402,0.17258395,0.10204873,-0.31978142,-0.11090483,-0.61312664,-0.77254295,0.18085432,0.51024723,0.08372822,-0.007299682,-0.32296064,-0.09643929,0.14899835,-0.53014207,-0.2860495,-0.76153487,0.7756573,-0.23613736,-0.10274752,-0.17128722,0.25814855,0.32574838,-0.82920516,0.2853107,0.11137073,-0.13448729,0.022738356
s1-1,0.001964584,0.04809036,0.10435772,-0.054582924,0.03192823,-0.079716496,0.09504442,0.018509358,-0.061801385,0.054521915,0.01264446,0.21195842,0.038368568,0.047093924,-0.033428483,0.07360503,-0.106582865,0.04193246,0.03773683,-0.11013356,0.0334427,0.017206969,-0.10473073,-0.033837624,0.045621913,-0.04993639,0.057759833,-0.08333112,0.029393373,-0.15705137,-0.02816663,0.094717786,0.11051254,0.09141293,-0.022245288,-0.0056293383,0.033854816,-0.01577203,0.092033535,0.09576118,-0.047861233,-0.026169188,0.039662383,-0.032862175,-0.06316861,0.017297953,-0.08960274,-0.02023597,-0.021984836,0.09439384,0.087439,0.033176485,0.71529305,-0.2322438,-0.13832606,0.1630702,-0.12052274,-0.36253232,-0.4348561,0.9175213,0.1453881,0.10520801,-0.42462477,-0.8520854,-0.47292152,-0.3243032,-0.26973543,-0.39352477,-0.2716069,0.39482254,0.5314553,0.39964837,-0.20795006,0.05097654,-0.10693159,-0.34610647,-0.060902923,0.372019,0.8746511,-0.1589168,-0.28748143,0.109467626,-0.09692947,0.07527247,-0.15152058,0.5181806,0.099436656,-0.018198214,-0.17212182,0.3799353,0.06851769,-0.5750191,-0.12645519,-0.22917323,-0.4520843,0.4094757,0.3660668,0.19646227,0.39590347,0.06832748
s1-2,0.008330772,0.0028437604,0.10801574,0.0015647486,-0.07999661,0.0083446,0.045814436,0.012211182,0.024763761,0.04719607,-0.014487581,0.16107923,0.01033625,-0.057506558,0.013900902,0.1237528,-0.021354608,-0.009701839,-0.003105212,-0.01139937,-0.0034116954,-0.011441523,-0.0048076846,0.036509935,-0.06639177,-0.010354204,0.06151089,-0.05755624,0.028857082,0.023738861,-0.04621561,0.0067438716,0.09658775,0.032968253,0.013816759,0.10107446,0.025663067,-0.056680456,-0.06855626,0.083862066,0.08134553,-0.023553323,0.02919452,-0.06922005,0.022494316,-0.11746618,-0.019922584,-0.072569124,-0.07900131,-0.07586981,-0.3100302,0.043529004,0.06656938,0.29318884,0.23576877,-0.09487174,-0.51752347,0.12176467,-0.13525076,-0.17506933,0.2425556,0.19774574,0.028502256,-1.5654407,-0.042026334,-0.10516946,-0.08425774,0.345802,0.12210983,-0.3266969,-0.4498677,0.23677373,0.5661851,0.32950038,-0.24571593,-0.2848013,-0.07126495,-0.30837062,0.44795787,-0.17187618,0.30184197,0.22209176,-0.42509997,0.10571596,-0.14974602,0.55368304,0.5619655,-0.2784744,-0.046435114,0.38725615,-0.23363525,0.52405584,0.003982517,0.05357559,0.057903897,0.12566216,0.07296786,-0.12258616,-0.019820025,0.26355097
s1-3,-0.21787201,0.04711141,0.06988175,-0.08395413,0.027965,-0.032079022,-0.08361051,0.012988735,-0.0012391172,0.03529092,0.06799525,-0.07138798,-0.021544643,-0.08908278,-0.003018801,0.1171069,0.06324719,-0.018837601,0.02097112,-0.16507135,0.037064176,0.0644705,0.0031948462,-0.021495178,0.079817906,-0.0038483199,0.0047358274,0.09791899,0.059320092,-0.5483686,0.021012224,-0.00032905256,0.09731728,0.020423137,-0.05020041,0.0012283269,0.12894,0.021477949,-0.0072745057,0.10373694,-0.108726084,-0.032451753,-0.023859803,-0.05737056,0.042532556,0.19602814,-0.012733458,0.07609362,0.031301696,-0.08058065,0.042404626,-0.31982592,-0.26453426,-0.019613657,-0.1105318,0.078151174,0.34637576,0.03499358,-0.14417472,0.44763595,0.08374249,0.27476993,-0.18610394,0.24983111,-0.01840758,-0.051612947,0.19588168,-0.17418678,0.21761468,0.19907254,0.046420336,-0.17360324,0.41486174,-0.15625724,-0.1278214,-0.11969113,0.17371121,0.08627995,-0.6058339,0.3359297,0.031195872,-0.21693343,0.0037552118,0.051154293,0.077047445,0.09415211,0.31868106,-0.05195488,-0.5263903,0.4103975,-0.021402031,-0.07374008,-0.045884766,0.62617403,-0.5206301,-0.24043453,-0.27947873,0.18289472,0.12050159,0.0170063
s1-4,-0.11310703,0.010470176,0.024753377,-0.07410225,0.025736932,0.054603912,-0.028293237,0.018721523,-0.009378092,0.031021042,-0.02674978,0.18736179,-0.03742407,-0.073707364,0.0032000467,-0.0027220063,-0.003732212,0.064555794,0.012570202,-0.0913127,0.04689036,0.0147452615,-0.06647331,0.078350216,0.044968218,-0.027448772,-0.043566775,-0.010246133,-0.005003486,-0.6540121,-0.02979903,0.06040295,0.086296484,-0.11406869,0.086160064,0.09807299,0.031677425,0.0077673737,0.052215207,0.008475897,-0.00093780085,-0.004160093,-0.017654857,-0.05560699,0.005884226,0.34794253,-0.05425073,0.016086396,-0.12715387,-0.0465852,-0.060053796,0.060888037,-0.08313577,-0.004551932,0.09607196,-0.14133814,-0.22419089,-0.015624664,-0.17122003,0.25441805,-0.20142017,-0.060647175,-0.088969,0.041171793,-0.16427176,-0.047171146,0.09910676,-0.28915495,-0.20234407,0.12482461,0.32704532,0.13490564,0.2409807,-0.020744853,0.46379808,-0.020941243,0.09808431,0.07793763,0.83903426,0.06715459,-0.08796523,-0.07839308,0.077293195,-0.41968897,-0.23136944,0.07010556,0.20382284,0.09327117,-0.5876561,-0.30986172,-0.18731026,-0.30505204,-0.049812526,0.3089258,-0.2754224,-0.17510939,0.19125587,0.93191385,-0.17493972,-0.18315303
s1-5,-0.08688423,-0.005958247,-0.058911778,0.05758069,-0.03425787,-0.0031651328,-0.09508468,-0.033341125,0.006481996,-0.050377812,-0.081255466,-0.10773087,0.057358667,-0.018606156,-0.019943938,0.045688957,-0.11141126,-0.021562865,0.021570861,-0.09099832,0.03952092,0.0094981585,-0.041794438,0.003401909,-0.055482674,-0.008423213,-0.004960967,0.050905615,-0.048662066,-0.06684358,-0.06975281,-0.02131961,0.038191028,-0.08138427,0.12210763,0.145493,0.041983597,0.0688058,-0.0373721,-0.0019373447,-0.022919705,0.09127445,-0.049496062,-0.07155017,0.03415381,0.099444896,-0.0157822,-0.011858618,-0.074084826,-0.019629268,-0.03810407,0.32362255,-0.059844665,0.10990156,-0.19525942,-0.062842794,-0.26665455,0.20933722,-0.005225435,0.38670814,-0.032277837,0.12139015,-0.054333102,0.30813122,0.14819609,0.19247574,0.11014959,-0.0888043,0.07768913,0.19975996,0.29263404,-0.13933097,-0.1981809,-0.079260506,-0.11246149,-0.18108994,0.06654626,-0.045302868,0.45958993,0.051696315,0.07735985,-0.09757365,-0.16585347,0.01667218,0.110170625,0.53158474,-0.20652454,0.1302445,-0.5225894,-0.07342686,-0.36529332,0.3691439,-0.14657892,-0.4857738,0.2889112,0.13143976,-0.15932313,-0.3559308,0.07624835,-0.034402363
s1-6,-0.07174827,-0.03738142,-0.04432609,-0.0158533,-0.04362885,-0.012812092,0.029100265,-0.057357185,0.035644583,-0.11904845,-0.029867273,-0.26516604,-0.07103347,-0.09326829,-0.04593595,0.072048806,-0.058401007,-0.011682717,0.001729073,-0.01131979,-0.02158108,-0.015469758,0.03886433,-0.017448857,0.057270497,0.07271456,0.090445384,0.03969414,-0.012859661,-0.44366395,-0.03243513,-0.032220695,0.011378832,0.005708757,0.091480315,0.046044283,0.088674545,0.05228942,0.041023754,0.014292028,-0.04292255,-0.013498801,-0.020841919,-0.007266324,-0.08604783,-0.0027312972,0.012301873,-0.032416403,-0.048558652,0.009829934,0.22343263,-0.58728826,-0.18928905,-0.0029085241,0.17108133,0.09733857,-0.14662284,-0.2618879,0.17562173,-0.37449855,0.0206003,-0.13918266,-0.12577845,-0.57293797,0.18638952,-0.27565366,-0.06926134,-0.099398434,-0.18768615,-0.37448177,-2.5646915,-0.011434406,0.32867515,-0.112760484,0.003900677,-0.15104195,-0.10802066,-0.31946427,-0.27340573,0.26194388,-0.42848653,0.26436535,0.023613349,0.19114932,-0.20595443,0.6228656,-0.11388631,-0.16341953,-0.27614194,0.4593578,0.23326546,0.068051405,-0.36479133,0.3842383,-0.19851467,-0.3796261,0.08345309,0.35769236,-0.103413,-0.030485123
s1-7,-0.044122376,-0.122960925,-0.040648036,0.023423057,0.10563584,-0.024001336,0.038215693,-0.011027449,0.08306569,-0.08566591,-0.010345038,-0.38310632,0.07543659,-0.080454685,-0.015576247,0.034960523,-0.05653105,-0.006825405,-0.019263038,-0.0940094,0.082205236,-0.02027511,0.017159414,-0.11228873,0.04870787,0.13978097,0.06369233,0.14218208,0.028050318,-1.0540879,-0.01756898,0.02007861,-0.03589628,0.0012091678,0.036695752,-0.018464686,-0.022173557,0.04535199,0.010976336,0.088256754,-0.102091916,-0.011260406,-0.02406272,0.023056176,0.05494,-0.107095495,-0.037828498,0.02164834,0.022315238,-0.027499288,0.12238384,-0.34390578,-0.27187726,0.12070809,0.09632657,0.14030057,0.13914493,-0.016309598,0.22972985,-0.17041689,-0.225714,0.03778045,0.1606456,-0.3014807,0.066501915,-0.008933362,0.047443844,-0.2890466,-0.11331963,0.021411806,-2.7809567,-0.32993874,-0.06739628,-0.12922388,-0.022745028,0.03386827,0.14766225,-0.3127838,-0.35209173,0.14667442,-0.44251895,0.10964653,0.08091385,-0.097599044,0.030389786,-1.1054026,-0.08193301,-0.09950009,-0.12951148,-0.16527769,-0.057753287,0.14944547,0.013482641,1.0821937,-0.067457825,0.043457422,-0.19242087,0.016698197,-0.09543984,0.009708907
s1-8,-0.055856176,-0.061092366,-0.100295514,0.051400565,0.024785912,-0.088484935,-0.03871476,0.02535202,0.052625705,-0.15118149,-0.015622366,-0.026755296,0.08514787,0.07494725,0.088397376,0.0126930075,-0.08567866,-0.03393888,0.030140873,-0.16433802,0.1117142,0.050946902,-0.065716445,-0.112300664,0.023491759,0.06944623,0.07052323,0.16775168,-0.07486567,-0.73735565,-0.06665557,0.08771901,0.0040822066,-0.04953428,0.09611836,0.023231737,-0.054007765,0.022108495,0.07177936,0.025033323,-0.07782493,0.0057114437,-0.026037833,0.026792798,0.031428628,-0.09371254,-0.12526037,0.091269314,-0.0027657822,0.037214965,0.15470499,-0.36816803,-0.26924032,-0.17505959,0.36392617,-0.046093762,-0.035015453,0.38860863,0.3284645,-0.3018591,0.31697774,0.016330808,0.19614547,1.1120038,0.4143123,-0.08068864,-0.14630061,0.38336223,0.25270256,-0.5357441,-2.2637415,-0.34421766,0.11387886,-0.2809877,0.16984127,-0.083497636,-0.033197932,-0.27407598,-0.8552227,-0.15367003,0.35237908,0.06271918,0.06132709,0.16627552,0.10134566,0.44101477,-0.4505669,-0.107734784,-0.054010045,0.2991283,0.3359129,0.50638616,-0.08347014,0.5601508,0.5776934,-0.49023563,-0.38087422,0.3168116,-0.29172346,0.13974811
s1-9,-0.09177115,-0.07843717,-0.006715413,-0.06331831,-0.008455263,-0.033209216,-0.15352404,-0.08190421,0.120566554,-0.1008642,-0.05573713,-0.19182163,0.036299728,-0.11782941,-0.106665276,0.086630255,-0.0497336,0.071743764,-0.044978734,0.009885624,0.034576822,0.029535368,-0.051020224,0.06454341,0.022712076,0.1281034,0.03026066,0.0137794735,-0.11282693,-1.1866221,-0.12807721,0.05554389,-0.047317542,-0.08307544,0.08839456,0.07723312,-0.0009652898,0.055463236,-0.04901011,-0.009877728,-0.017445317,0.029378269,0.045437917,-0.034394957,-0.027697813,0.057304434,-0.0073110834,-0.027413795,-0.07227436,0.011525234,-0.09483691,0.4615701,-0.19932745,0.24164341,-0.1262158,-0.4445604,-0.310551,-0.036748156,-0.21825212,0.024337795,-0.25671357,0.14791058,-0.28292656,0.1062669,0.019949391,0.19883806,0.46530065,-0.5914906,-0.04683104,0.603302,-2.406375,0.021921761,-0.15653975,0.13848571,0.29885072,-0.09142357,-0.09561502,-0.10691106,0.07023556,0.38296732,0.61903274,0.28337455,-0.33177084,0.5909686,0.009312376,0.100454584,-0.21988083,-0.04176182,-0.50514656,-0.28632647,-0.7722572,-0.050277278,-0.3513171,0.20805478,0.2427864,0.028277785,0.13976976,0.7021369,0.23802839,-0.10665386
