,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
s1-0,0.021264603,0.023143739,0.03725581,0.0078707365,0.006963654,0.008544972,0.022578733,0.024242943,0.019869152,0.025436651,0.05578997,0.035519026,0.02690185,0.029101083,0.01554141,0.010467455,0.022504391,0.028366938,0.020350974,0.01609598,0.012639258,0.02728401,0.0023367393,0.013165157,0.020728083,0.017341085,0.02930736,0.021926833,0.041704215,0.025554953,0.03183951,0.011916907,0.012039826,0.009783449,0.012326427,0.010277245,0.011599458,0.046152692,0.010043563,0.009975354,0.014773234,0.012526715,0.011133178,0.0170899,0.020032058,0.016027639,0.0048000175,0.01598164,0.02589037,0.0259933
s1-1,0.011678167,0.037854988,0.018868579,0.0053011472,0.008298917,0.010049804,0.0032307075,0.0035101986,0.03435751,0.004924204,0.017493857,0.026276587,0.04629163,0.019908426,0.00809555,0.011304988,0.002337724,0.035844635,0.00951268,0.063940994,0.01015764,0.0312519,0.027812423,0.01788593,0.006295879,0.026007207,0.012376308,0.02947237,0.0054848725,0.017878065,0.008260531,0.03237854,0.004114529,0.027270382,0.011786971,0.037597634,0.014343815,0.023843143,0.0058889943,0.0022212863,0.0015830486,0.014094036,0.018712942,0.08499808,0.0065864874,0.03343268,0.04099751,0.01382533,0.04358294,0.010777399
s1-2,0.013667546,0.032498788,0.014893259,-0.0003396131,0.028218836,0.01583247,0.01836186,0.017279232,0.02199318,0.008240025,0.0102904085,0.017727757,0.03235515,0.0587127,0.008357341,0.020046944,0.014932583,0.015157218,0.04796929,0.052116033,0.0059359674,0.02692609,0.011568015,0.0059415353,0.007588934,0.014807264,0.004499323,0.010025665,0.0352037,0.014715892,0.0062469146,0.012103455,0.0036374608,0.014305919,0.010377223,0.007168441,0.007944192,0.02261371,0.06067123,0.0063261725,0.061975077,0.010842179,0.02123037,0.018680444,0.016847892,0.021485511,0.00495945,0.044742078,0.041921712,0.02039742
s1-3,0.040038425,0.022656891,0.0091012195,0.017230788,0.05287601,0.011097862,0.012662575,0.0067881453,0.033334803,0.0027309787,0.020927703,0.06380936,0.009275117,0.028197499,0.013490435,0.016368972,0.010025313,0.016286528,0.01025811,0.012165254,0.0018622733,0.014278913,0.022925235,0.0058390517,0.01709242,0.015254669,0.048679706,0.005782267,0.012130813,0.028822128,0.059129715,0.016366012,0.019765358,0.0047357273,0.032233212,0.015199298,0.018653683,0.015266498,0.02277586,0.015387709,0.022934176,0.017484117,0.005848071,0.022893986,0.00950613,0.027936498,0.019936102,0.012439793,0.017346606,0.042172186
s1-4,0.01645935,0.022536885,0.013599137,0.046987515,0.032263715,0.01166014,0.0035092025,0.0031673026,0.043423224,0.027895913,0.007157184,0.005686061,0.018534016,0.019792838,0.042225808,0.020622833,0.03128369,0.00261652,0.0050196606,0.010643346,0.01149172,0.043391336,0.020689279,0.009675092,0.02348515,0.013636021,0.018709876,0.0074809957,0.0036388885,0.015831623,0.019646898,0.009662293,0.023159469,0.0104295565,0.012879246,0.017886637,0.014782158,0.006652592,0.07846945,0.02762577,0.041406155,0.024114843,0.018914802,0.012379399,0.026727129,0.015483347,0.02970183,0.018653965,0.019813413,0.018496877
s1-5,0.023506507,0.012108142,0.008243974,0.021145131,0.03624355,0.016572632,0.0032171684,0.005123335,0.027457433,0.085676804,0.009885982,0.006167513,0.028903475,0.018743081,0.005223135,0.024623545,0.017431397,0.014189226,0.018427713,0.02727435,0.026080273,0.018388705,0.0066597117,0.011991935,0.0126685295,0.005010701,0.018993558,0.049282998,0.056286495,0.011487748,0.028811747,0.02169106,0.0065206666,0.0059251557,0.023578998,0.007056895,0.03234509,0.014024198,0.017253196,0.006339309,0.01587317,0.031571914,0.048437685,0.007224641,0.013303481,0.010605969,0.019715399,0.0105861155,0.026571928,0.025548901
s1-6,0.016274558,-0.0013201867,0.002668592,0.029137125,0.015176785,0.025052276,0.026884217,0.016322443,0.0155372,0.033628196,0.005697074,0.0044554197,0.005515299,0.0070594884,0.024799261,0.04554347,0.10152601,0.0073811957,0.0031314204,0.0048075602,0.03810229,0.0012093906,0.005015751,0.005032979,0.08010999,0.0018480452,0.006481544,0.01215827,0.010963286,0.00024148144,0.04768053,0.008061246,0.01845818,0.005362056,0.012409774,-0.003761897,0.0025712121,0.004707484,0.016756257,0.07112316,0.051033944,0.08770268,0.024339344,0.019648464,0.026663508,0.0053928425,0.0072228257,0.023764826,0.004151418,0.016272424
s1-7,0.01001299,0.007520257,0.028521422,0.086840264,0.0035549884,0.010233539,0.011946606,0.009978687,0.00067605986,0.024220733,0.023343664,0.023701727,0.0032889629,0.005167482,0.009242131,0.03900618,0.11823248,0.008617539,0.017428055,0.0047447295,0.045683406,0.017631272,0.00817477,0.008943998,0.053538162,0.005608483,0.01363334,0.008632411,0.0021880816,0.021763649,0.0071131806,0.00275642,0.0061189593,0.008415935,0.004848938,0.0074021067,0.025489707,0.012003162,0.014703413,0.06973981,0.015616449,0.08542238,0.009793803,0.03943155,0.012054333,0.005728686,0.01335987,0.0018074822,0.0018865253,0.024231803
s1-8,0.010833722,0.013642711,0.0058142,0.03260316,0.0030723575,0.009746718,0.00876317,0.011469594,0.08819143,0.032374036,0.013583404,0.022646824,0.001698246,0.005278461,0.0028738684,0.03482461,0.10336418,0.0061177155,0.0021527498,0.0024617857,0.06991609,0.00063793745,0.0066842306,0.012467299,0.059148975,0.010023876,0.005202015,0.011249796,0.005985274,0.0033080452,0.020227205,0.004590172,0.0064650327,0.0050848997,0.010094157,0.00082774874,0.042942166,0.023265254,0.020629467,0.053194005,0.013033822,0.07549244,0.003575113,0.038256194,0.0115040215,0.006782132,0.0027506242,0.0019058033,0.0020647098,0.061178885
s1-9,0.0031419843,0.0069175344,0.056764986,0.11550688,0.004067681,0.0061363694,0.0005974663,0.011562048,0.027005445,0.004939279,0.007289169,-0.0005015042,0.006584361,-0.0010474835,0.010133383,0.03789176,0.11147367,0.0039552646,0.004395324,0.0002859956,0.035457067,0.029726291,0.006311501,0.0010260713,0.06616467,0.026990304,0.009437901,0.0031147806,-0.0018548917,0.013013079,0.017720653,0.0008969696,0.016541325,0.010578389,0.0045575374,0.0118681425,-0.0012766569,0.009245194,0.04599253,0.0592842,0.006111672,0.056713995,0.0039427876,0.059806414,0.011370751,0.002283179,0.009625342,0.0027537679,0.04884022,0.016657935
