,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
s1-0,-0.58998585,-1.4716288,-2.2529109,-0.059369177,0.19754219,0.058853727,0.32425138,1.1156752,-0.53792757,-2.2839913,1.102808,-0.3818886,-0.8832394,-0.15488364,-0.79270124,0.56051624,0.1239214,0.1765141,0.049467903,-0.0021696396,-0.4770673,-2.0897624,-0.59836555,0.77872,-0.03955994,1.1853349,-0.5651245,-0.56631964,0.2476134,-0.744992,0.24549298,0.10319283,0.33669204,-0.631856,-2.0494707,-0.1349598,0.18216085,0.25764227,0.6380245,-1.3244852,3.7760863,0.08177463,1.168474,0.049730856,1.6778141,-0.008573489,-0.0071226563,-1.2125987,0.7295819,0.6397813
s1-1,0.3676985,1.7457113,0.12176355,-2.378569,1.1878426,-1.2336919,-0.5826029,0.6049313,-0.069279045,-1.7758914,-2.0018463,-0.18152432,-0.26967546,1.0056286,2.4491827,0.961909,-0.6303233,-2.1117089,-0.07549035,-0.13962965,1.2654829,-2.0916297,-1.9890145,1.2785667,1.2894036,-1.2846862,-0.03226803,0.7947066,1.0398973,-0.7697052,-0.98273045,-0.94129485,2.1850863,0.32071823,0.3368808,1.5903927,-0.4282548,-2.4877481,0.8343363,2.8794312,1.0907165,0.14101237,2.4506216,-0.44342864,-0.64072084,0.6557165,-0.94028646,1.0416766,0.7854584,-0.3079526
s1-2,0.19242518,1.8136902,-1.8369968,-1.5725282,-0.9278846,0.017132783,-1.0295563,-1.8615651,2.8724372,1.198483,-1.3464895,0.69571203,-0.5568465,-0.20225127,-0.47256476,-0.4393663,-0.0009901102,-0.5285333,0.7008087,0.89803386,-1.3051724,0.78779244,-0.26320347,0.752842,-0.22439662,-0.14949556,0.10617294,-1.9317291,0.8637367,0.2197809,1.1045986,-1.1696974,0.12797514,1.3448212,0.013855048,-0.1687104,-0.5275065,-0.32479417,-1.2409427,-2.7525797,1.4736342,-0.41119716,0.73368806,-0.5009074,0.73469335,-2.1384726,-1.6064426,-0.86167705,-0.63440514,0.085725136
s1-3,1.6510102,-0.27738947,0.980042,2.4567876,-1.6603822,0.49608552,0.97974753,-0.9005909,0.4934837,0.941506,-0.86138403,-1.4708327,0.77904344,-1.6702362,-0.62478006,0.71140736,-1.9723443,3.2085829,1.2465163,-0.9120966,0.2218434,-1.6423218,0.07951072,-1.4920717,0.39949623,0.8901247,-0.8176781,-0.94344836,-0.06967084,0.19884813,-1.8595531,-0.5237469,-1.2558951,-0.8376773,0.45419347,1.0482572,1.1701274,-0.2944427,-2.5043142,-2.079907,0.28583217,1.4378921,0.28087255,-0.5147852,-2.069985,1.2396634,0.42785707,0.72705424,-0.764816,-0.70503026
s1-4,-1.6726416,-1.2793802,-0.49106348,1.0299487,-0.49839255,-0.68650323,1.0810767,0.66462636,-1.3266047,0.55824363,3.2375588,-0.37405762,-0.40593696,-0.81589836,-0.3153305,-2.2298675,0.42366454,0.80679625,0.05246155,-0.34124765,0.7472021,-0.061920416,0.36644113,-0.59106773,1.166734,0.28068545,-0.5336568,-0.22842015,-0.402019,0.16567096,0.4189494,-0.10507292,0.9294503,2.8812592,1.7150435,0.047005728,2.0742939,-1.4614367,0.9492833,-1.0799832,2.0898154,1.0416477,0.7351037,-0.2426061,0.1919213,-0.3828596,-0.7853427,-1.7990798,-0.8746825,-0.29467553
s1-5,0.6927647,-1.7185607,-0.04955258,-0.9178815,1.0940708,-2.5434222,-2.86071,0.80312043,-0.17229505,0.7906724,-0.085810795,1.1976578,0.56088454,0.90358084,1.5871766,0.1900951,-0.49154013,0.0052275853,-0.9495885,1.141943,-0.5084009,-0.14044957,-1.884939,0.18756014,-0.18554077,-0.17111933,1.1087289,-2.7072449,-0.9860347,0.6614967,0.55288744,-0.6207065,-1.2621027,0.04756764,-1.4469812,0.26988345,-0.24545157,-3.055691,0.01437953,1.2442966,-0.9559212,0.4079179,1.976131,-0.2157643,-0.12859166,1.9673128,-0.3271681,-0.36253867,-0.84076965,0.60066485
s1-6,-3.39008,4.7030673,2.9676793,-2.131982,-2.8475165,0.44770804,-0.50083625,-0.69353896,1.0139829,0.011265587,-0.3817259,-1.9241292,0.7033068,0.56971854,-1.2960203,0.677642,2.4854193,-0.5997257,2.0041885,0.20166804,-0.8790295,-1.1733496,-0.8147177,-0.28147176,-0.47766027,0.44528198,1.6917222,-0.87143975,0.053625315,1.6953955,-0.23033354,-0.011931557,-2.1018941,1.080624,0.009029258,0.5444345,0.33357036,-1.192928,0.16417463,0.71161145,0.7919357,-0.117094755,-1.0697074,0.89224464,-0.6240279,0.14780894,-0.7026316,-0.34100083,-0.65627575,-0.9409526
s1-7,-5.383236,3.985524,3.0089638,-2.1621695,0.055654354,-1.0295355,0.47362715,0.23887771,0.7981371,3.317296,-0.32925063,-0.9231385,0.093115695,0.14416333,-0.27379557,-0.3596877,1.0096351,1.1023644,0.40159,-0.40950805,-1.2124387,-0.5613376,0.89869636,-0.07532748,0.70277494,-1.556476,-0.38369703,-0.08269463,-0.4378153,1.0762278,0.57693505,1.1600219,-0.94457006,2.0350385,-0.14371836,0.39939958,-2.131719,-0.6696379,-0.26957145,0.056783095,-0.14256135,-0.051117435,-1.9959099,1.1599458,-0.46747732,0.36998925,0.4794844,-0.43474337,0.06308474,2.7117286
s1-8,-5.1673946,3.8786566,1.601254,1.2198122,0.27510992,0.40201154,0.7885359,1.3839806,-0.98860395,-0.16745181,-0.42778075,0.13483647,0.39870045,0.9440314,0.35675693,-0.5916628,-0.85628253,1.8091062,-0.2453063,-0.57608646,0.009415841,0.22724038,0.27149683,0.46201643,-0.3586433,0.541526,1.1246113,0.7193325,1.5105623,0.38755736,-1.148156,0.5966971,0.5036539,1.3747535,0.16141386,-0.38837162,0.2641416,-1.2093208,1.4450991,0.11676036,-0.85958135,0.91313493,0.8751383,2.37865,-1.7635399,1.2129471,-1.3336862,1.0751816,1.0183991,0.09996627
s1-9,-3.1831527,4.7807055,2.3184423,0.33933803,-0.9044517,0.23699151,0.9623985,-1.3210948,2.5290773,0.48351827,-0.53222215,-1.6231343,-0.51613593,0.25126782,2.0894463,-0.9199865,1.4895222,0.060707223,-0.17181742,1.337207,0.35893115,0.015051781,-1.4384732,-1.3928975,0.09938777,1.1095423,-0.67559713,-0.7037548,-0.766849,0.61467975,0.3811668,-0.22291341,-2.2869592,-0.8233351,-1.3359067,-0.112951756,1.5565933,1.9331931,1.3880601,-1.1366609,-0.20441929,-0.13791782,-0.15830564,-1.491111,1.0412104,-1.1799166,-1.2028617,0.5975818,-0.5067985,-1.4240035
s1-10,-4.454105,3.8479972,1.718178,0.98787796,-0.54543453,0.5080551,1.3636794,0.9401393,-0.55521613,-0.21828808,-0.58280677,-1.4830866,1.2091876,1.197757,0.8217266,-1.0469252,1.4704187,-0.36401758,0.76542544,0.34116516,0.27291617,0.2833387,0.34753257,1.6898849,-0.48708835,0.024489457,-0.34920365,0.86294824,-1.1046301,-0.6845097,-1.0791484,-0.45643836,-0.38063347,0.6469567,-0.2542106,0.41849235,-1.6816646,0.96630937,0.113447346,-3.4008048,-0.67535406,-0.35080928,-0.93456835,0.9405832,-0.29290152,0.90919864,-0.38519907,0.88668793,0.00033861076,1.0454199
s1-11,-3.7945874,4.3622813,0.41527262,1.256005,0.29365727,-0.029062519,1.393356,0.79020435,-0.8962328,-0.26979095,-1.6204071,0.86023,0.5310068,-0.12530716,0.9586776,-0.1733648,1.1095977,1.70587,0.45264733,-1.467097,0.18673721,0.5215115,0.57786983,0.7342785,0.22685508,0.016337307,0.29392046,0.9355673,-0.650079,0.60496813,0.94139856,-0.283248,0.08759123,-0.06470138,-0.57298106,0.5359972,0.46783853,0.48286536,0.08653622,-0.19644251,-0.5379644,0.014613035,-0.12147435,0.72087485,-1.5457795,0.48776376,-0.91353154,-0.82789946,0.9888515,0.16716887
s1-12,-0.46496812,0.8137712,-0.1269962,-0.54690564,-1.0134448,0.45375592,2.234035,1.983463,1.2412055,0.5609424,1.2152414,1.0882027,-1.9902738,0.121776246,2.4930162,1.1208798,0.6470348,-1.8520509,-0.15191129,-0.79604477,-0.24526277,-0.5708956,1.2646177,0.17743537,-2.9542801,1.1742114,-0.009199315,-0.7783361,-0.17582843,-0.4811369,0.47470224,0.09471916,1.1695288,-0.863047,-1.34534,0.6786999,-1.8566611,-0.42909226,-0.4446649,-0.5473676,0.069631465,-0.30176848,0.997527,0.7146389,-0.9409599,-2.1459186,-1.0227112,-0.5952523,-1.7810019,0.6772289
s1-13,-0.55190885,-0.32915762,-2.1870472,0.5881923,-3.7588718,1.7276438,0.06106434,0.31372234,0.046042867,-0.2585315,0.20555204,0.5347459,0.5499881,-1.7535241,0.8492416,1.8611373,1.0683987,-1.0987136,-0.24965514,0.10983198,0.3200028,-1.6526768,-1.9993888,1.7515725,-0.33289263,0.7723437,2.7352989,0.31023818,0.6186596,-0.5352939,0.7342012,-0.98012114,-0.37383258,0.2498822,0.52336127,-1.326732,-0.96020454,-1.0858744,-0.90248877,-1.2777607,-1.9748187,1.0035927,-0.16264428,0.55992717,-0.17273279,-0.3602627,-0.64943314,0.062392514,-1.1252757,-0.8452846
s1-14,0.89711154,-1.242533,1.2000428,-0.8235664,-1.5612934,-0.73649234,-1.3569319,1.9850163,0.07468159,-1.009158,1.2170916,-0.574407,0.41716668,0.74199367,-0.5022872,-0.35403115,-2.4583375,0.5013953,-1.7002198,0.09336688,0.20511405,1.5188043,-0.036577698,1.1798793,-0.5643761,2.5474284,0.5033451,0.07522309,-2.9008353,-0.24739835,0.58165604,0.3154581,-0.9311805,-2.3070812,1.030681,0.34667328,-0.5158674,0.8251866,0.21738479,0.08576959,-0.04225952,0.23416458,-2.728723,-0.61561257,-1.1153066,-0.008441217,-0.2830889,-0.9509391,-0.63233894,-1.0315585
s1-15,-0.24498324,-2.2338872,-0.29420072,1.7695328,-1.0634043,2.7794497,0.87527937,0.2855332,-0.6218313,0.1782906,-1.2443025,1.2458597,-2.645579,-0.14940996,1.1369987,0.076748416,-2.129783,-1.2214948,1.287041,0.6317803,0.73698837,1.6873469,-0.102476105,0.90577215,-1.8570994,-0.38596252,0.4853646,0.08460643,-0.042911578,-0.2631006,-0.16034526,1.7009003,0.05125336,-0.08119699,-0.23024404,-1.3285168,-0.84562993,0.21524635,1.6245823,-0.53056264,-1.3401041,0.35145473,-0.8498062,-1.4529628,0.48739213,-0.9141165,0.23715018,0.9392765,-0.13279381,-0.89968127
s1-16,-0.3731086,1.0203695,-0.71346664,2.0794199,2.5702088,-0.17775275,0.34748834,0.95679444,0.00025254398,0.14162244,0.65748656,0.022893012,-1.1075343,-0.36242428,-0.535018,-0.060602516,0.7014875,0.2776104,0.6289783,1.0004232,-0.6228044,0.90500754,0.48073158,-0.28202134,-0.5791781,0.18292622,-0.2080301,0.38780603,0.38474676,-1.826282,0.20924424,1.4428293,-0.74304193,-0.77972925,0.94011027,2.725694,-0.67509705,1.4914987,-0.59534806,0.7935892,-0.04512205,0.45067403,0.014208606,-0.28016448,1.3166412,-0.466347,-1.1440518,-0.598894,-0.3648829,-0.85872185
s1-17,-0.015414671,1.3331306,-1.3633317,2.7133322,-1.7166101,1.702066,-0.19186607,0.42168465,0.7585538,-2.195416,0.8942668,0.1672085,-0.45220938,-2.416929,-1.2205198,-1.529893,2.00653,1.3025056,0.97210455,0.2774896,0.16072999,0.884313,-1.8540362,-0.6251986,-0.22338869,-0.8209286,0.2902106,1.1408027,1.6878551,1.5756797,-0.67976105,1.5466225,0.20458369,0.17530511,-0.0049532074,-0.4047145,0.2833625,-0.27749082,1.2701745,0.14436384,-2.0350335,0.77645415,0.72013617,1.6909856,1.5815951,2.1230364,0.08280245,0.5263768,-1.5493152,-1.3258017
s1-18,6.6445093,0.7968093,1.5546912,1.5089839,0.64139134,0.23764102,-1.0985019,0.21624012,0.3046439,0.95415026,-0.28616342,-0.10541084,1.2175999,1.067718,-1.1959128,1.1040369,0.13421507,-0.28313008,1.100592,-0.41986173,-1.0967199,-1.0309032,0.62262136,0.3961008,-1.4429028,0.16465022,0.69799984,-0.278972,1.0472726,-0.08490405,0.9472812,1.1519386,-1.1246569,0.3484254,0.48422462,-1.3608302,0.36896333,0.24265055,1.4314344,-0.4918317,-0.0470763,0.29955617,1.9313374,-0.82842743,-0.78642327,0.37399623,0.44522905,0.42392638,0.30611807,0.7445568
s1-19,6.4708624,0.33106637,1.2403191,-0.6046703,1.5868522,1.039863,0.77642685,0.24268876,-0.5693108,-0.26267353,-0.35657594,-0.8404421,0.22228184,0.4304514,0.18527488,-0.70623213,-0.5247525,0.48898733,-0.80795854,0.39343607,0.90669304,0.6648295,-0.6880185,0.42925996,-0.50003815,0.93022215,0.5471423,0.7317135,0.8137796,-0.008917779,-0.061848283,-0.73516077,0.21796782,-0.07814605,0.31200588,1.0689455,-0.4425884,-0.22519186,-0.109133855,1.6265935,0.15015039,-0.8873609,0.028246023,0.7466128,0.2809985,0.06835386,0.41755188,1.0755212,-0.6438567,0.15570019
s1-20,6.524174,2.0304174,2.5947397,0.1570769,1.3559767,-0.79174817,-1.2688602,-0.8387268,-0.20442538,-0.9455331,0.31909466,0.2883019,-1.0885786,0.30196923,1.3809187,-1.3250672,-1.1088578,-0.73639464,-1.5921829,0.43484882,0.5311111,-0.741247,1.1734136,0.9027538,0.74324584,0.0119207585,1.8855985,0.36952716,0.29568243,0.07137725,-1.0225769,-0.0315846,-0.97927654,-0.6548514,0.08190945,-0.22311376,-1.1284541,-0.42517367,-1.2629657,-2.1352365,-0.9719011,-1.1705945,-1.2309219,-0.6191623,0.18282886,0.21704338,-0.4432891,-0.0054110265,0.38329193,-0.20036261
s1-21,-0.5077049,-0.174161,-0.33502114,-0.8046177,0.8738019,3.6646698,1.146482,-0.124527104,0.7030398,0.87797904,-0.08126032,0.15222354,-0.44114658,0.6968195,0.015843704,-1.2171185,-0.1500957,0.6679764,1.0934303,0.0566896,1.5490158,-0.3267295,-0.32221162,-1.5593334,-0.25923645,0.2411996,-0.5383374,-0.38249728,-0.92590415,-0.7212079,-1.2157398,1.4607651,1.0435615,0.14250018,-0.5568467,2.1644,-0.62133807,0.18860371,-0.51798326,-0.32840136,-0.9453306,1.5090452,-0.055208206,-1.2969917,0.46995032,1.0933707,0.72456247,0.29202104,-0.08656769,-1.0285015
s1-22,2.203045,0.8800324,-1.4824573,0.041971095,-1.7250152,1.3772249,-2.5250177,0.7957104,-0.5241495,-3.696828,1.7323475,-2.5533733,1.3774732,-0.314633,-2.1225224,0.05480061,1.388866,0.8462631,-1.4006087,0.44266585,0.58795613,-0.009314717,-1.1193898,0.4816013,-0.32053682,-0.37273234,-2.9987965,1.7009857,-0.9925255,-0.7211427,-0.8324538,-0.19197921,1.4236432,0.12143537,-1.7806168,-1.2427545,0.17859168,0.22009502,0.9166727,0.49435484,1.0926105,-1.9329009,0.3923938,0.22308578,-0.5244859,0.9895138,0.9124673,-1.4693215,-0.5399225,0.19374323
s1-23,7.092945,3.6108117,0.284391,-1.3287563,0.4782739,-0.6020956,0.35865065,-0.08696088,-0.30118588,0.7226259,-0.39404172,-0.44199914,-0.77877885,0.83909416,-1.3971518,1.0008364,-1.5936357,1.451946,0.24801442,-0.7725412,0.55791795,-0.930581,-0.4970649,-0.15693814,-0.09375265,0.7373021,1.1947243,0.67470646,0.103182554,0.29494506,-0.5753155,0.4369135,1.6098392,1.0973091,0.29080433,-1.3915223,-1.3633842,0.61389285,0.6122074,-0.6768934,-0.97093856,0.74539477,-0.46970886,-0.85396254,-0.10230029,0.1445857,0.3937063,0.2757789,-0.67852694,0.3915677
s1-24,6.038334,1.8778328,2.8122663,-2.058277,-1.2433867,0.120909,-1.9938902,-0.39254814,-1.644064,0.03845781,-0.9489914,-0.12885727,1.3855093,0.16308087,0.4014396,0.34985662,1.0059915,0.770614,0.7903939,-0.21546455,-1.3995223,0.73938125,-0.4583838,0.85554856,1.2648468,-0.772242,0.24585412,-0.83873504,-0.676357,-0.5741372,-0.9845874,-0.3284857,0.01119151,-0.6791791,0.5733058,0.014192356,0.87134933,-0.53304344,-0.33829895,-0.1152474,1.317874,1.3306297,0.6336222,-1.1036967,1.092418,0.8859247,0.32499865,-0.73761964,-0.31111696,-0.6993552
