,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
s1-10,-3.1039011,-5.6326513,2.0349984,-1.0356003,-0.10353154,1.2848856,0.18159784,1.0233173,-0.69557315,1.2779853,-0.9075897,-0.40786555,-0.51995265,-0.19494988,-0.5726907,0.1597647,-1.1134765,0.1685093,0.11306436,1.102205,-0.36619473,0.47221392,-0.6595276,0.4208396,-0.062126596,-0.4409528,-0.014636131,-0.84334004,-1.8552649,0.32274124,1.7594336,-0.053263154,-0.015356335,-0.34890306,0.20833015,-0.2278762,-1.2973465,-0.8757603,0.5452519,-1.7962751,-1.1191964,0.2921994,-0.064375505,-0.14411272,-0.2939772,0.3715766,0.6330239,1.0810305,1.131357,0.1311235
s1-11,-3.9980838,-4.5824866,-0.087556414,0.53471595,0.022879362,0.57895577,-0.0028030633,-0.45931855,-0.2371532,-0.38061383,-0.581799,-0.29511216,1.368817,-1.1405779,-0.27446604,0.60330194,1.062733,0.29206967,-0.48746684,0.6537642,0.3874979,0.1168081,0.46625477,-0.91333807,-0.6163043,0.31125972,0.25741366,0.01622517,0.37190795,-0.44776654,0.5956076,-2.0305784,0.23019667,0.021706719,0.093563996,0.07711274,-0.77974963,0.609468,1.3865931,0.8221372,0.108164996,-0.37175712,-0.5072964,0.43992317,0.6947234,0.693548,0.27756497,0.23953256,-0.18317275,0.65771276
s1-12,-0.24517311,-0.36498994,-1.743252,-2.276395,0.69010925,-0.8014443,-0.6741727,1.4730616,-0.24769494,-1.7541578,1.0413024,-0.7774112,-0.61196715,1.5963999,-0.96627283,0.9738635,0.87507284,-2.4218512,1.89293,-0.60079545,-0.048105307,0.6082667,0.37107214,-1.6178132,-1.7465681,1.5900677,-1.4481018,0.88589084,-1.3853054,-0.31556988,-0.39189556,0.19839503,-0.72492015,1.1014922,-0.18518111,-1.0470027,-0.006051643,-0.4616318,-0.29005724,0.6427327,0.034113064,-0.15644735,0.79845774,1.4543504,-0.6872165,-0.5099399,1.2307466,0.18582717,-0.7724436,0.94213355
s1-13,1.1698945,0.073713794,0.29665986,2.625934,1.6455215,-0.2963803,1.6528018,-0.17516845,1.9502252,0.33990675,-0.778198,-1.1626312,-0.91849947,0.5251085,-1.1430209,-0.28663796,1.2410022,1.1546148,-0.56048346,1.3329479,-1.2050818,-0.121567965,-0.2436111,-0.00064820366,0.6102947,-0.63077193,0.5288909,-0.36274716,-1.6645659,0.46822613,0.68832934,1.12945,0.14663167,-0.12947582,0.23308645,-0.3541239,0.1822526,-0.88273317,0.04094756,-2.055808,-0.895689,-0.33614212,0.76271987,-0.040244076,-0.5287932,-0.5008865,-1.2948837,-0.22614384,0.03277714,-0.79969037
s1-14,-0.69506294,-0.6234864,0.1935522,-1.0418419,-1.0929781,0.7394542,0.6155504,-0.14350426,-0.101866245,-0.49075332,-0.6812091,0.002070938,-1.6363958,-1.6941636,0.5274895,1.1922989,-0.92892814,-2.0283813,1.0011792,0.4744099,-0.6432879,-0.070371434,-1.0438648,-1.6999874,0.2926818,-0.8748961,0.4200727,-0.24889986,-0.19918177,-0.03182298,1.2617583,1.6800811,-0.6012411,-0.5724169,-1.2008743,-1.8444512,-1.7916374,-0.10218524,-1.0200046,-1.0915029,1.1613221,0.24174908,0.5946544,2.4732835,-0.028422834,0.073240735,-1.4824924,-0.24601457,-0.81820995,1.7070012
s1-15,-0.34124386,1.8843384,0.8604352,-0.44970843,0.039515655,0.14836398,1.3069397,1.678816,0.036485955,0.69508624,-0.34399447,1.8098786,-1.9710035,0.14416191,0.39269137,-2.280088,2.1985133,-0.12848479,-2.5439157,0.7390629,0.4343249,-1.0739892,-1.3753004,-0.5333533,-2.020031,-1.2586395,0.0533584,-0.12610674,1.60221,-0.21129304,-0.41782996,-0.6896385,0.5642897,0.19410117,0.5058543,0.42527875,-0.9010341,-0.82929313,0.9838138,0.7502336,-0.1066378,-0.6287533,1.0345253,1.7065585,-0.14329584,1.9329116,0.22095132,0.17245597,-1.2658154,0.31042525
s1-16,-0.9388523,1.5323738,-1.7660824,-1.7309107,-1.0530249,-1.3561342,1.3527187,-0.17546494,-0.9229494,-0.27460542,1.5833064,1.057079,-0.38412806,0.7944214,0.67088866,1.0179411,1.1008064,2.3914762,1.2238008,0.1290573,0.6976569,-0.37743998,0.9840548,-1.3393395,-0.9924289,-0.9146195,0.09604025,1.0164737,0.08811547,-0.25998268,0.6676477,1.3901817,1.0946544,0.6540903,-0.28099138,-1.1579967,0.23327948,1.0093685,1.7387774,-0.29809585,-0.50641066,-2.1415727,-1.8561503,0.62187207,0.7840349,-1.6992602,0.0011302922,-2.1410139,-1.8774873,0.08600173
s1-17,-0.7855537,-0.5658188,-0.4813541,-0.78359735,-1.3742048,1.6601342,2.2265048,1.3402841,1.0372319,1.2556314,-1.2062721,-0.408348,0.6195049,-1.3033073,-1.570281,-1.3220927,-0.52666664,2.0945425,0.8353895,1.5553814,1.4748229,-1.1845663,-0.3888243,-0.13064118,0.34248894,1.1501753,1.899553,-0.79922813,0.18788785,0.42051172,2.3109455,-0.51105165,-1.0250058,0.6347278,-0.8791795,1.8077146,-1.4343871,-0.66771775,0.72438115,-2.4658823,1.3590928,-1.235563,0.66538,-0.767597,-0.7900098,-0.36525282,2.2209966,0.12507091,-0.22706114,0.9110852
s1-18,5.835251,-2.0772614,2.58852,0.96523464,0.7212911,0.39741343,0.3611533,-0.12800004,0.45111138,-1.6434978,2.2253103,0.9754941,1.8740574,-0.49170214,-1.2861875,-0.59515905,0.5585029,0.03024446,-0.091954626,-0.6505751,0.20239437,-0.9716813,0.44970164,-0.07327472,-1.099205,-1.1571207,-0.018500276,-0.83148295,0.8318094,0.3836883,0.5936,-1.5622234,-0.093548626,-0.09378091,-0.8264388,-0.7203564,-1.1196139,-0.37373814,0.664562,-1.2774581,-1.4966959,-0.975869,1.1130636,1.1453322,-0.012811043,-0.56887966,2.0536413,0.98155046,0.8073257,0.06861367
s1-19,5.791346,-1.6618221,1.3761036,0.43080577,-0.5814349,-1.699552,1.2744907,-1.0895574,-1.2852126,0.061375327,-0.30515036,0.88565683,0.113894336,0.019918531,0.5258586,-1.3495473,0.006279366,-0.44005615,0.3985522,-0.3114911,1.4565926,-0.6683635,0.34530407,-0.94330776,-0.25537357,-0.2833343,-0.17083761,1.2866184,1.009149,-0.38035315,0.24412705,-0.46809372,0.21333161,0.9556606,-0.29341754,2.283874,-0.051564846,0.12756775,1.9505153,0.6774183,-0.86363006,1.3654115,0.06561882,0.50020707,-0.3510463,1.3715457,0.7001186,0.8614738,0.037627626,-0.46079826
