,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
s1-0,-0.05391349,0.023231424,-0.013440907,0.07279935,-0.36103767,-0.020332202,0.017255228,0.04840873,0.090757184,0.045288086,-0.037443507,0.47984967,-0.1095524,0.004205242,0.16299285,0.3314899,-0.05545529,0.028358955,0.05289376,-0.087421186,0.0019970536,0.0688525,0.040029317,0.051275756,-0.03632495,0.06166593,0.040108018,-0.08637547,-0.062101915,0.0015661782,0.1115177,0.0046950392,0.14115322,-0.004310947,0.010374609,0.06854065,0.059979405,-0.029627372,-0.15918255,0.05349924,0.004815921,-0.09465009,0.007301897,0.084985316,0.046005666,0.006445911,-0.061182242,-0.019279283,0.13430773,-0.030684508,-0.36590856,0.1713987,0.19614877,-0.2073795,-0.9641369,-0.90375036,0.13016957,0.98577875,-0.15640529,-0.04344944,0.2943254,-0.35129762,-0.066256076,0.52520037,-0.11688875,0.1326927,-0.36431473,1.7477474,-0.30453885,0.6429871,0.46874434,0.40766317,1.1536938,-0.27874303,-0.033553343,-0.93754876,0.02420559,-0.2915237,0.37936413,-0.60328823,-0.3677836,-0.2418912,0.3042618,-0.042739958,0.12427691,0.27175218,-0.14485243,-0.1258794,-0.6133002,-0.12638293,0.22135124,0.16116118,-0.224185,-0.6354608,-0.2450576,0.48577455,-0.40193015,0.050497413,0.31401616,-0.7677729
s1-1,-0.009773366,0.15996407,-0.042618327,-0.037427932,-0.15306649,-0.09523697,0.0662304,0.021705661,-0.08288728,-0.059409343,0.054957137,0.25035045,0.017613236,0.061240032,-0.09121994,-0.37056205,-0.029574798,-0.08103957,0.027056077,0.0070759915,0.04291145,0.032589693,-0.045249812,-0.08054206,0.032971527,0.050656006,0.015654443,0.07021897,-0.04454965,-0.10611198,0.1231309,0.0027622366,0.043407608,-0.008692301,-0.020146696,-0.00893903,0.017470863,-0.0642062,-0.028972337,-0.006057838,0.00802128,-0.01077861,0.026324347,0.006889139,-0.02272094,-0.0083560385,-0.011147849,0.035576683,-0.03149827,-0.05015026,-0.30780256,-0.302262,0.30092502,-0.013337083,-0.1124331,-0.30323237,0.31644583,-0.019227022,0.1828395,-0.26966974,0.336493,-0.60264635,0.0725272,0.0006354302,-0.2653295,0.3713358,0.039551675,0.49137074,-0.39300773,-1.154985,0.14898491,-0.21321851,0.09751448,0.43744522,-0.007867482,-0.585896,0.08980211,-0.3112047,0.12775314,0.34988943,-0.3371569,-0.097048715,0.062088944,-0.15378223,-0.17403816,0.02460628,-0.20347865,0.01885587,-0.20305726,0.05126556,-0.08746517,0.22565505,-0.38621527,-0.34180608,-0.5481895,0.09699255,-0.21780808,0.15545917,-0.18529366,0.0066761672
s1-2,-0.08746403,0.0381791,0.053846404,0.005937812,-0.19651465,-0.1098842,0.0787997,0.06396532,0.072333544,0.11160387,0.053988997,0.072119,0.10235374,0.0522803,0.011260178,0.12713516,0.042211436,0.05937105,0.061511375,0.012726348,0.031124998,-0.060318083,0.01813441,0.09016217,-0.039433107,-0.027430136,0.07141758,-0.036954977,0.054914396,0.0118302945,0.06611771,0.042680357,0.04545768,0.043314874,0.049688846,0.006419221,0.17401096,0.0028912066,0.028825475,-0.000637047,0.013189826,0.047881532,-0.00050729327,0.036897875,-0.010094324,0.061766,0.011306027,0.016675219,0.025790267,0.029881835,0.1267317,0.09306734,-0.61752903,-0.06135876,-0.4972616,0.29632506,-0.49634093,0.5855644,1.5962753,0.22456965,-0.4944359,0.5254694,0.4232856,0.15967715,0.10131077,-0.28296167,-0.030442173,0.32065544,-0.32883853,0.87387824,0.3828089,-0.025748685,0.87540185,0.081621185,-0.21322119,-0.80595875,0.346151,-0.32854295,0.35361463,-0.48523194,0.34284443,-0.044135027,-0.4671108,0.57632893,-0.1285761,-0.35948312,-0.14631101,0.22052552,-0.25069368,0.27514097,0.078384906,-0.36750063,-0.12723745,-0.279545,-0.08831304,0.47781616,0.3050938,-0.6173569,-0.6826521,0.5599364
s1-3,-0.13769166,-0.024562385,0.0059103435,0.12583786,-0.2032235,-0.04151816,-0.011863491,-0.033885702,-0.055165417,0.08090281,0.039599266,0.2077896,-0.20048127,-0.014686543,8.935761e-05,0.07249361,0.15572917,0.011017328,0.09559567,-0.051460933,-0.09733054,0.0565772,-0.059960164,0.1091394,0.013727404,0.045373797,0.05235704,-0.08203608,-0.031255275,0.09464426,0.16971758,-0.05490912,-0.0073552825,0.042510986,0.10853486,-0.11573136,-0.00965705,-0.030696077,-0.004096642,0.06304005,0.09523152,-0.09898545,0.08047136,0.023863412,0.033783995,0.013066243,-0.023278851,0.056272842,0.037464205,0.037123535,0.01721045,0.017923273,-0.24087422,-0.048352703,-0.026848607,1.2710252,-0.2808156,-0.6838897,0.7292491,-0.037171625,-0.7356967,0.21369715,0.25588363,0.05407443,0.12783614,-0.28589198,-0.085048065,-1.5521623,0.13115601,-0.037927967,-0.18821082,-0.20755537,1.4553165,0.071755566,-0.03798935,-0.870845,0.04185617,-0.0056507606,0.15242983,-0.29604876,0.24721852,0.08810849,-0.63174677,0.5987831,-0.01434193,-0.2852038,-0.30409002,0.05977206,0.27469832,0.2671579,0.0035937876,-0.34333402,0.12630136,-0.2010301,0.33604413,0.28581053,0.25516403,-0.20538625,-0.6686098,-0.4364432
s1-4,-0.07067804,0.022632029,-0.028144661,-0.029250246,-0.1394043,-0.0727226,0.04854023,0.024772482,-0.027404575,-0.025244555,-0.029380478,0.27424017,0.04238346,0.030594654,-0.057535343,0.1865254,-0.035284903,0.05605631,-0.07766345,0.045104913,-0.044140533,-0.04934925,0.049688578,0.033277452,0.06387853,0.054417834,0.055467222,0.07623914,-0.011584921,-0.07761446,-0.059702557,0.12983152,-0.040568277,-0.09415789,-0.06680133,0.11802026,-0.028634444,0.003495405,0.017961793,0.010929972,-0.039678957,-0.06753907,0.0026973104,-0.008212194,-0.012453723,-0.055084098,0.010725576,-0.022623822,0.006901428,-0.05610085,-0.074820615,0.12744756,0.47283238,-0.2905787,-0.097807854,-1.2898873,-0.36450303,-0.38038418,-1.3924729,-0.32374144,-0.065295324,0.1690916,-0.09119482,-0.12866995,-0.023948152,-0.0401256,-0.0065181404,-0.6403468,-0.38976395,0.13218305,-0.03036128,0.330163,0.9937376,0.2563592,0.05610566,-0.78168756,-0.25935727,-0.09083818,-0.081216134,-0.5587281,0.025659312,0.151618,0.006899342,-0.22107077,0.20034617,0.16452819,-0.20281467,0.3197229,0.30173582,0.070477225,0.0097805485,0.10642842,0.3551978,0.13437831,0.27806213,-0.3980297,-0.3603034,0.16437203,0.5386647,-0.80061513
s1-5,0.09308126,0.044945177,0.012839173,-0.025590656,0.0809398,-0.05202114,0.065814696,-0.020983879,-0.04316346,0.03577496,0.01126113,-0.18669069,0.11051724,-0.012100784,0.01671005,0.47070816,-0.12735961,-0.004023321,0.06637729,-0.015689928,-0.017345462,-0.085565075,0.020156391,-0.052651078,0.028377417,-0.13726427,-0.01727142,-0.025675114,0.0047321357,-0.02408208,0.041394837,-0.047131356,0.1143283,-0.057040572,-0.028669331,-0.056513194,0.04144128,-0.031210158,0.010409236,-0.07766358,-0.024371043,-0.05701994,-0.02704506,-0.051365472,0.020270146,0.03584628,-0.011545384,0.010207124,0.11038869,-0.017215986,-0.0075501753,-0.03808269,0.26325694,-0.26858544,0.22102994,0.7207255,-0.06750025,-0.006618291,0.24110168,-0.21159431,-0.4230424,-0.015575349,-0.13649647,-0.04429909,-0.027748575,0.0058488306,-0.1747677,0.0075484402,-0.51677793,-0.12782246,0.17721875,0.00070010265,0.43387645,0.17199531,-0.08015369,0.09858164,-0.17925574,-0.03685048,0.09946865,-0.366963,-0.26400033,0.15831459,-0.46007377,-0.033680134,0.07155958,-0.09304318,-0.30384865,-0.09790909,-0.1916664,0.10729955,-0.19643772,-0.19075865,0.10085516,0.30994895,0.112369165,-0.4224972,0.27710202,0.11176325,-0.106272444,0.36042657
s1-6,-0.06448746,0.09130724,-0.053035483,0.024985824,-0.30168316,-0.037808813,-0.015407858,-0.10086706,-0.05668399,0.0034783212,-0.014498191,0.75347406,0.01570971,0.021923508,-0.038986377,0.7712601,-0.066857934,-0.016825207,-0.08250273,-0.055664357,0.10937497,0.06574248,-0.084310636,0.07170839,0.016914442,0.13577916,0.054221813,0.031327315,0.014861237,-0.009763173,0.048624806,-0.0162891,-0.10313316,-0.08683072,-0.0031808827,0.068378404,-0.019726519,-0.04455926,-0.04801719,0.06771101,-0.0525444,-0.054511502,0.024707781,-0.08365934,-0.05007709,-0.018276282,-0.0048040003,-0.0057765655,-0.04894167,-0.05058016,0.009916209,-0.046958577,-0.030134175,-0.06345658,0.72381055,-0.9625937,-0.2593336,0.33041722,-0.19113886,0.0962962,-0.2360446,0.33349907,-0.045795944,0.42481065,0.13725822,-0.44282717,-0.014267391,0.3911209,-0.10807149,-0.62891805,0.056790777,0.22209683,-1.8689184,-0.66467345,0.18105686,-1.8681202,-0.07192604,0.35111237,0.20856789,0.025589094,-0.1211896,-0.029696915,0.049641147,0.3512429,0.3694675,0.13590516,-0.13596043,-0.8871677,-0.1293867,-0.30096656,-0.18633008,-0.0671228,-0.17096332,0.33938786,0.2550754,-0.3948261,0.12195665,0.20544314,0.055498824,0.51101476
s1-7,-0.049739175,0.11534829,-0.06682281,-0.025949338,-0.20640287,-0.10936147,0.037437864,0.02666144,-0.013589273,-0.041652624,0.07325274,0.99626374,0.08778699,0.124160424,0.013677584,0.87706816,0.04479342,-0.04946263,0.008793153,0.05825,0.09152645,0.018518267,-0.03242924,-0.028693995,0.08383679,0.08299057,0.05164967,0.010716729,0.041731175,-0.10943295,0.0032095537,-0.00695049,-0.09255189,0.006572446,-0.023042055,-0.07613422,-0.0075651873,0.0067800023,-0.056476373,0.04195605,0.0018316396,-0.113451764,0.12932397,0.029723886,-0.019281417,-0.041665234,-0.13291755,-0.045790877,-0.05549401,0.0353136,0.43171751,0.4839436,0.1511694,0.025503997,-0.06491979,-0.46581337,-0.7134011,-0.75955963,-0.23980956,-0.18101862,0.056888495,-0.015596595,0.33296925,-0.1368553,0.09129607,-0.228555,0.018166715,0.2396129,0.2219781,0.1114602,0.22794813,-0.4857395,-1.9000311,0.35860896,-0.14924628,-1.629503,0.10123448,-0.93438053,0.039631948,-0.4382014,0.057175048,0.14782253,0.012850432,0.039484225,-0.13710028,-0.12070601,0.32107157,-1.1900165,0.1436666,0.038842756,0.0077693146,0.17987034,-0.41241422,-0.308518,0.31635332,-0.026199296,0.029521432,-0.26663703,0.2978704,-0.22338751
s1-8,0.0335224,-0.018320918,-0.027740356,0.095983915,-0.9063077,-0.09193997,-0.021752726,0.02199788,-0.014954364,0.04536349,-0.0034523197,0.88370264,-0.020083994,0.07913086,0.09639795,0.96090055,-0.10673067,-0.09632359,-0.014027089,-0.009499869,0.13567454,-0.009799914,-0.014239958,0.017472815,-0.009906357,0.0014713518,0.056261983,-0.016028995,0.037750434,-0.0918217,0.0705447,-0.032544754,-0.10555524,-0.064494,-0.01693321,-0.026896317,0.009409521,0.049324952,-0.12789147,0.0759084,-0.0896443,-0.06900503,0.09249931,0.0021228306,0.018396772,0.03511264,-0.1254971,0.009081387,-0.054865494,0.08485909,0.12296411,-0.118287876,0.32095975,0.078080334,0.5127453,-0.4612628,-0.18535899,-0.038326804,1.05809,-0.149665,-0.6193119,-0.2051324,-0.26250654,0.111540824,0.40619478,-0.25020438,0.059845977,-0.22745866,0.037131406,0.015921002,-0.072073944,-0.07868948,-1.5835723,-0.23817211,-0.23085228,-2.0335197,-0.32591736,-0.0832605,-0.047289032,0.08834912,-0.19562846,0.32414904,-0.18482381,0.17808315,0.2776261,0.002364438,-0.2946415,-1.2285068,-0.18803142,-0.38024017,-0.3762232,-0.2021552,-0.44512028,0.23846118,0.48846227,-0.28204566,0.3349967,0.2514333,0.12127197,0.6792614
s1-9,-0.12130773,-0.0076213665,0.07808692,0.009672442,-0.53606457,0.12039427,-0.0026402452,0.04838547,0.023977224,-0.026624793,-0.041247394,0.6610882,0.06224005,-0.0016739443,0.14583302,0.77244675,-0.04381398,-0.0007172162,-0.06549842,0.010813847,-0.002055373,-0.053143963,-0.080417916,0.040219467,0.015461552,-0.08544384,-0.0056864414,-0.046376564,0.057011552,-0.113237545,-0.07284109,-0.009835647,-0.180227,-0.10322997,-0.0031598136,-0.07751302,0.034227647,0.060345516,0.07453509,0.031641766,0.044007726,-0.04781127,-0.006352449,-0.11278998,0.022322888,-0.0018951278,-0.090727516,-0.11161189,-0.010843558,-0.006879544,-0.0490697,0.109427355,-0.5536332,-0.09679913,0.077780396,0.286099,-0.06203626,0.07372895,-0.1830678,-0.06629083,0.888716,0.2951722,0.049797527,0.07091044,-0.32386285,0.33386233,0.269245,-0.9769856,-0.23050019,0.040838197,0.3374033,-0.1035912,-2.1786876,0.06803862,0.28190005,-1.7242241,0.066411264,0.43069074,-0.13718373,-0.06252178,0.11440829,-0.20143454,-0.014342733,-0.07253411,0.050153077,0.10765001,-0.051627476,-0.8135532,0.15602748,0.13885312,-0.054857235,0.073927134,-0.07795052,-0.05742003,-0.29603025,0.06057851,-0.22347857,0.043793336,-0.3948586,0.4965409
