,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
s1-10,0.021394007,-0.061640345,-0.038455978,0.0067345276,-0.04334017,0.11079134,0.10985668,0.070710205,-0.009704303,0.009556908,0.016051097,0.025164839,0.06374277,0.028385155,0.07216461,-0.19444558,-0.06902382,0.08277386,-0.10611961,-0.03632204,0.0857082,-0.0127236135,0.10672878,-0.016301107,0.16496433,-0.035913445,0.09010135,-1.1455259,-0.028020363,-0.61965704,-0.106981814,0.4176724,-0.11053154,-0.006344827,0.08482045,-0.026758619,0.044838257,-0.0011013644,-0.019238092,-0.009548351,-0.034229744,0.010743875,-0.10557756,0.023859154,0.052433364,-0.062380217,0.11195405,0.066886485,-0.027919762,0.048846446,-0.2711733,-0.11689093,-0.44814745,-0.05026656,-0.21142274,0.12732306,-0.9169799,0.17825967,-0.09271942,-0.15518486,-0.31668156,-0.04162871,0.14472045,-0.18621205,0.41213042,0.24073449,-0.18476243,-0.04018438,0.095224716,0.19388531,0.4046246,0.06658032,-0.4316491,0.17622003,0.05217126,-0.24606207,-0.08356518,0.12601502,0.019335944,-0.034161612,-0.050183814,0.071521744,0.032510422,-1.2719605,0.29531547,-0.048370473,0.036239773,-0.011954071,0.14734003,0.02954033,0.015465135,0.28006107,0.13910063,0.13217968,-0.29789758,0.38196582,-2.3236535,-0.024088737,-0.04069213,0.19328725
s1-11,-0.07969738,-0.10576373,-0.05240469,0.08719699,-0.05680777,0.06361022,0.14741191,0.07238953,0.03281186,0.007634122,0.029462038,-0.11180272,0.06599064,0.18528917,0.1369581,-0.07212524,-0.10482383,-0.042852163,-0.1904666,0.0038596094,-0.19188458,-0.01507514,0.029732637,-0.0018923767,0.08606637,-0.14872615,0.045058854,-1.3905873,-0.07582104,-0.5559081,-0.11169638,0.4817049,0.0057635605,-0.051796727,0.1769711,0.011693182,-0.029865496,-0.092907384,0.13357788,-0.06149345,-0.03164437,-0.07377357,0.07637857,-0.055581823,-0.036306776,0.01971493,0.046988696,0.009501103,-0.061313145,-0.031841204,-0.15653458,-0.45079947,-0.24888477,-0.26988673,0.27185053,0.3599278,-0.43814754,-0.332651,-0.028421849,0.1507672,0.22425982,0.03610895,0.15443273,-0.16120926,-0.015065268,-0.32630956,0.035476476,0.035803262,-0.10860536,0.019857217,0.022918208,-0.12687373,-0.63435197,0.07660884,-0.16045687,-0.15478739,0.17244959,-0.043048814,0.034722194,-0.063977025,0.24091467,-0.1698596,-0.0022012582,-1.48824,-0.0664413,-0.034394745,0.25375485,-0.025332846,0.29645926,0.36221886,0.09766698,-0.1664688,-0.071338266,0.3840507,0.079788074,-0.08673728,-2.2393713,-0.2814781,-0.40299934,-0.10385904
s1-12,-0.05974283,0.06673939,-0.10167804,0.13127953,-0.015440952,0.09948189,0.06186338,0.11346273,0.0665494,0.030053098,-0.08952536,-0.01655349,-0.10462497,0.035084438,-0.123426765,0.031562224,-0.020833284,0.08522056,-0.024745494,-0.0035191625,-0.13669229,-0.06066658,0.039944176,-0.061485447,0.14078552,-0.13376914,0.044198133,-0.7457701,-0.07485216,0.34263393,0.009996381,0.41523507,0.03898097,-0.053026397,0.044662468,0.022434082,-0.017443966,-0.030584387,-0.06352621,0.047488492,-0.044307232,0.08124736,0.11777487,0.11363122,0.009972328,0.018269809,-0.05011647,0.059322678,-0.051975094,0.008305042,0.09237532,-0.29678375,0.5006151,0.022598518,-0.31294376,0.32465708,0.17240214,-0.26021087,-0.15468726,-0.15178019,0.039669275,-0.14901145,-0.14462812,0.10024903,0.07832441,-0.9552562,-0.088155665,-0.014601643,-0.19799432,0.053840607,-0.117970094,0.059592802,0.7910726,0.27907893,-0.016362863,0.14487556,-0.023253143,-0.23087125,-0.02707076,0.32160413,0.20967665,-0.16307695,-0.49130046,-0.48424914,-0.21485929,-0.059517212,-0.18484819,-0.3782333,-0.28508705,-0.94267416,0.5004877,-0.73687506,-0.2916548,-0.1218714,0.17061378,-0.21283162,-0.08930236,-0.033689145,0.18128471,-0.118594356
s1-13,-0.048226878,-0.02958076,-0.18486544,-0.026192188,-0.063463725,0.10044238,-0.008830365,-0.07282102,0.020851076,0.03662034,0.04953286,-0.06818259,-0.061995495,0.071509406,0.11393714,-0.033435255,-0.003972981,0.022373706,-0.0050103404,0.04929804,-0.04336907,-0.046537288,0.053993423,0.057291284,-0.007811365,-0.013189999,-0.13082922,-0.30838212,0.08049911,-0.30456594,0.010848146,0.08044724,-0.06696817,0.06635336,-0.019977752,-0.008963993,-0.053818367,0.023362905,0.11824517,-0.09493531,-0.058191057,-0.0487087,-0.0989429,-0.021301135,-0.087248065,0.09361264,-0.045078903,-0.0021601338,-0.088693656,-0.11122879,0.44618535,-0.013416566,0.29270816,-1.1818795,0.16527566,0.2911397,0.3790955,-0.3516818,-0.2810211,-0.009085787,-0.45709056,0.010022081,-0.06897995,-0.24472903,-0.32987952,-0.75585735,-0.018364653,0.16821238,-0.19708484,-0.4022482,-0.004380271,-0.13725118,-0.23083979,0.035278447,0.022551699,-0.48736364,0.0223393,-0.18314487,-0.042446434,0.018217321,0.55967855,-0.31993592,0.069218256,-1.219523,-0.30628288,0.056262657,-0.078332976,0.036226034,0.55192083,0.9108651,0.072020754,-0.06614477,0.06908824,-0.0979609,-0.022787014,0.45870507,0.53324723,-0.077115595,-0.25132158,-0.17488062
s1-14,0.022294268,0.006079115,-0.11784381,0.038805865,-0.020213168,-0.00787255,0.063751586,-0.050048165,0.006320346,-0.03792844,0.053938776,-0.020084683,-0.014971856,-0.06511041,0.06605798,0.018769596,0.0768407,0.0019405559,-0.020616062,-0.019802652,-0.12040558,-0.09085156,-0.08859475,0.09728393,-0.03763916,-0.026137277,0.0442327,-0.29036736,-0.023883875,-0.15927345,0.013124347,0.49937293,0.11057107,-0.02048915,-0.05808358,-0.11347659,0.0025793128,-0.024994373,-0.033560436,0.112161316,-0.0060843155,-0.08063182,-0.06533746,0.04983811,0.04321199,0.11691439,0.048684806,0.04028458,-0.07445714,0.05649554,-0.22936578,0.15845652,0.16637963,0.12787473,0.13253354,-0.07433525,-0.12298946,-0.018784463,0.15805276,-0.15837762,0.28535798,0.00023342669,0.0013047867,0.17008646,-0.24282777,0.07075456,0.023726553,-0.016187353,0.043436427,-0.005858578,-0.32926562,0.116236836,0.070454106,-0.0030146297,-0.0062864795,-0.30167794,0.01809489,0.12182386,0.07819891,-0.22029999,-0.2984882,0.17389134,0.29284728,-0.7455381,0.12915435,-0.026684996,0.14852268,0.10536417,0.038982328,0.2440489,-0.07855004,-0.15884125,0.11936679,0.06554347,0.069851205,0.08818862,-0.9791672,-0.11005896,0.3644755,0.0420036
s1-15,-0.06868237,0.07252732,-0.41275024,0.048752658,-0.03693258,-0.0105552,-0.09549202,-0.0027746167,0.047883544,0.012921844,-0.057173222,-0.03161761,-0.02604112,-0.031732704,0.08690099,-0.031686854,0.022951357,-0.061722673,-0.013264126,-0.006528452,0.032919668,0.00044173934,0.12173555,0.010987572,0.03145631,-0.0044735335,-0.050724957,-0.13799696,-0.0071713533,0.19972882,-0.023126341,0.041470878,0.020853046,0.13747218,0.012531442,0.006120325,0.034977887,0.05130582,0.090314895,-0.054530073,0.02195144,-0.127391,0.024661567,0.008675523,-0.029811617,-0.0029961285,-0.012509653,0.053665794,-0.06790391,-0.043323506,-0.24490535,0.51469725,-0.041213028,0.4226765,0.2717901,-0.056400895,-0.3043899,-0.3224185,-0.047015354,0.08980347,0.8057041,0.31377897,0.18647507,0.15598045,0.117454425,0.24597736,0.081075534,0.07261637,0.30423868,0.28145152,-0.43874463,-0.45403546,-0.4778007,-0.2651109,-0.20832047,0.7939991,0.13991809,-0.010465711,0.28555828,0.31306148,0.2542602,0.3371177,0.6529818,-0.22105269,-0.31484586,-0.16632508,0.2664927,0.0892469,-0.42147517,0.5580316,0.3378791,0.24253617,0.09887812,0.1512612,-0.02292405,-0.50845885,-0.25478095,0.28141445,0.13146904,0.061376214
s1-16,-0.14367878,-0.11220762,-0.27720097,-0.09327703,0.019095995,0.01089043,-0.09313913,0.02155314,-0.02023368,-0.03268024,0.12915996,-0.04400014,0.030481394,0.009072784,0.19157307,0.0585641,0.002021758,-0.028315151,-0.014724158,-0.019127201,-0.040762655,0.0074007846,0.11999276,-0.032560434,0.05460682,-0.024017934,-0.23354124,0.28165546,-0.010454293,0.1622236,0.046640832,0.38085914,-0.020542273,0.08394155,0.035665847,0.034464486,0.002426262,0.064766355,-0.06847305,-0.10103459,0.07805964,-0.0909848,-0.19256909,0.011401571,0.009591391,0.028190881,0.006755961,0.04702168,-0.08110422,-0.008825552,-0.28585052,-0.4009897,-0.55779135,-0.07655551,-0.05281515,-0.042157076,-0.18321143,0.1034954,0.07405996,-0.076568514,1.0101905,0.13277587,0.1919196,0.15541193,0.08413482,0.12727797,-0.14293762,-0.1900934,0.12934342,0.23977718,0.17306405,0.0786156,-0.1837303,-0.17113785,-0.120330006,0.17928985,0.05341308,0.2539956,0.08398017,-0.070415094,0.31557178,-0.017786574,0.42028356,-0.12797053,0.054729573,-0.080479585,0.085485935,0.14209177,-0.20177086,-0.13717166,0.092100255,0.13438642,-0.18190235,0.054409508,0.15661034,-0.35139674,0.6521277,0.21073854,0.05710153,-0.045876622
s1-17,0.04487633,-0.019545801,-0.119001396,0.029375074,-0.041654963,0.08664487,-0.08939097,0.029557593,0.004518891,-0.011502087,-0.0244366,-0.055409387,-0.0721755,0.061463706,-0.054321222,0.0045273267,0.06719042,-0.028690625,-0.031077866,0.035408746,-0.072903246,-0.0018884428,0.14602506,-0.018523095,0.07341263,0.0707971,-0.0023530107,-0.33130455,-0.014005939,-0.16540164,-0.10277801,0.12306178,-0.062572494,0.14484024,-0.015303321,-0.0055528255,-0.049419187,0.0107971765,0.036819313,-0.009412572,-0.075351484,0.02348564,0.17467423,0.012855715,0.01756763,-0.040062655,-0.07980583,0.081269115,-0.048452582,-0.018787976,-0.008607402,0.20166694,0.4923674,-0.43383464,-0.25244296,-0.17483905,-0.11992513,-0.23015068,-0.36455476,0.15837483,0.045600295,0.01061908,-0.020850189,0.029838786,-0.17174895,-0.3839122,-0.020101655,-0.03364345,0.0390819,-0.085407205,-0.06564495,-0.52825433,0.12744601,-0.21168679,-0.015893303,0.16118702,-0.13934325,-0.3724974,0.041539963,-0.031414967,0.30027112,-0.02777467,0.21294759,-0.64446414,-0.33007592,-0.13726223,-0.0637303,0.075645745,-0.095079154,0.05509547,-0.14409252,0.16936854,0.087912634,0.036957867,-0.031328175,-0.21149936,0.14491343,0.17798634,-0.2525121,-0.026803972
s1-18,-0.016945496,-0.04658198,-0.19320256,0.05014959,0.08104379,-0.010015537,-0.026905846,0.01926689,0.092673786,0.060311846,-0.050623342,-0.05668673,0.086128116,0.00856046,0.07829214,-0.10631414,0.07609401,0.09213275,0.038548864,-0.052695226,0.12252334,-0.0075750872,0.10138526,-0.06120187,-0.1210631,0.14729267,0.0041141342,-0.29283708,-0.10070495,0.35367322,0.032992225,0.14207563,0.13435356,0.025757171,0.09691288,0.049266826,-0.006112665,-0.07766235,-0.08862457,-0.05139209,0.12458146,-0.07304794,-0.16587277,-0.060465585,0.020323317,-0.045527037,0.08980751,0.026072877,-0.042130563,0.14704606,0.043783113,-0.0005755499,-0.3719256,-0.056628786,-0.22065687,0.28114796,0.04540427,0.099421926,0.17863195,-0.23976395,0.57524675,0.11370252,0.18975514,0.0805919,-0.0644906,0.33567503,-0.044142053,0.031169787,-0.15928912,-0.049614444,-0.68549776,0.020726103,0.032755353,0.20232578,0.09336437,-0.33453667,-0.049152136,0.19952452,0.104079165,0.058110792,0.34289026,0.07397002,0.101534314,2.5306516,0.40957695,0.09902282,-0.14397222,0.0732925,0.0903811,-0.36893177,0.15608978,-0.27875212,-0.15793377,-0.023652203,0.054187194,0.44956455,0.39606926,-0.12316382,0.2104607,-0.06604183
s1-19,-0.0427786,0.027573057,-0.112448394,-0.10025691,-0.0030962173,0.020243093,0.033885702,0.07570059,0.05754133,-0.013579387,0.060126364,-0.01739195,0.04130165,0.08815463,-0.027076462,0.021757437,0.06442417,0.18825911,-0.028295074,-0.102067165,-0.10433842,0.012393713,0.09842595,0.014048302,-0.010099599,-0.0106302975,-0.0194127,0.48990792,-0.07838561,1.8478252,0.08648744,0.5860512,0.16180366,-0.022915114,0.044967156,-0.012526712,0.06129456,-0.047161978,-0.10034042,0.011922698,0.09151768,0.054678015,-0.0608394,-0.04341939,-0.0011076666,-0.09847084,0.18748504,0.008085605,0.030849457,-0.038404837,0.11736621,-0.070805,-0.22755554,0.4501037,0.040733583,-0.070392385,-0.23540884,0.117740154,0.1503556,0.012313583,0.16361871,-0.07238452,0.034771163,0.16364609,-0.10061179,0.5328823,0.12900174,-0.20857137,0.10436327,0.0124506205,-0.010621995,0.1727104,0.37970036,0.037814684,0.21059144,0.36784416,0.06199806,-0.037235342,-0.06298603,0.15136164,0.23801857,0.15894979,-0.08642276,2.477188,-0.019627595,0.06017104,0.030186743,-0.03202532,-0.08463013,0.043231502,-0.13010627,-0.09481222,-0.25190872,0.07215675,0.18016256,0.20654413,0.20924778,-0.16670467,0.11152781,-0.10684243
