,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
s1-10,1.1940163,0.123161435,-0.5220405,0.5882903,0.50512075,-1.4609053,-1.4510739,-0.8075916,2.0929728,-0.16915599,-1.2857126,1.1667422,-0.44105712,-1.5976267,-0.8124628,1.0922614,1.4847614,-1.1038594,0.9663964,-1.1046143,-0.6764113,0.35191503,0.38558277,1.2784578,-0.09695117,2.833427,-1.8644909,0.13686061,0.57382315,1.7685049,-1.2683606,-1.6887904,-0.61584985,-1.2962853,-0.8035284,2.2035253,-1.9517581,-1.7249906,0.40506196,0.63405156,-1.6760018,2.44745,0.36613205,1.5217124,1.8382453,-0.28273544,-1.3051473,0.47672677,-1.6154015,-1.0384336
s1-11,-0.8029075,0.944813,1.106311,0.5167413,2.3549414,-0.68648255,-2.031491,1.2046816,0.039786518,-2.9045157,-1.1796638,0.7328224,-0.2860632,-2.3264205,-0.39757967,0.86373687,0.33122337,0.22174196,0.5461468,0.95566154,-0.14361653,-0.40430266,-2.1543758,0.45749193,-0.56183153,-0.891029,1.7904336,0.28885233,0.26174647,-2.167065,0.375135,-1.1434584,1.8789035,0.5472045,1.033424,-0.49687207,-0.69781053,-0.29181302,-1.2368408,0.76426053,-2.7625127,2.4447927,3.7582536,1.3432832,1.4760888,0.6790357,1.2279865,-0.14507006,-1.8949757,-0.71294904
s1-12,0.47270578,-1.6947904,-0.6039413,-1.1468962,-1.4724338,-1.1387125,1.2450229,-0.7415576,0.8868778,-1.6361439,0.017824398,-0.8608087,-1.7018198,0.321957,-2.0986273,0.17576796,1.0427623,0.6248299,0.88177216,-0.34250778,-0.13246962,-0.14862393,0.5237274,-1.5048872,0.72306204,-1.5426905,0.98214155,-2.5229263,0.97939974,-1.6938338,-0.30768898,0.61544895,0.7895402,0.2704584,0.149125,0.30160466,-0.10157351,0.6185642,-0.40708697,0.4595709,0.8239877,-0.10477395,0.3689794,-1.214579,1.7939152,-1.7287116,-0.9534328,-2.1008978,-1.9512768,0.56447107
s1-13,-0.24683909,0.72189337,1.4386151,-0.7468892,1.5787579,-1.2295899,-1.556505,1.9229633,0.3272529,-2.47624,-0.76461834,-1.7020787,0.93224007,-0.1618977,-0.6199935,-0.68151957,-2.749804,-0.83800197,0.33529684,0.9545051,-1.1035112,3.643743,1.1347891,-0.5772743,-0.79486704,0.43977323,0.50355136,0.026735406,0.43084583,0.57413864,0.39535204,-1.738755,-1.2146142,-1.2780865,-1.4226207,-1.3294173,1.033452,-1.6380095,-0.69160384,-2.5995347,0.59277755,2.7924562,-0.76290834,0.06536986,1.3423151,-0.43628076,-2.2604353,-0.40272003,1.0429692,-2.329395
s1-14,1.2427605,0.5709354,-1.0043856,0.6805556,-1.6338967,-1.787599,0.079081155,-1.2264501,-1.2197906,0.91317934,1.0443307,0.18001014,-0.8419433,-1.6463021,1.0991467,-0.25832832,-1.459761,1.9408039,0.035470404,1.1709054,-0.23172083,0.16109921,0.7854254,1.9825712,0.13975808,-0.58561933,-1.9661306,0.4647535,-2.068592,0.18119228,0.9390373,-1.315265,-1.448114,-0.27969775,-1.9351718,-0.25065783,0.4662185,-1.6000695,0.12083247,0.23110282,-0.71767485,-0.39643702,0.7610353,1.3241003,-0.040708818,-1.027669,-0.69494206,0.12745811,-1.3450141,-0.6161272
s1-15,-0.8844651,1.7673671,0.3126388,-2.3013792,-1.0035154,0.24027641,0.019349856,-0.42527434,0.5770466,-2.3658671,0.70528615,-0.8653501,0.77236515,-0.55263114,-0.46906167,-1.0459523,2.2125142,-0.2482574,-0.37780476,0.808983,1.7413344,-0.52274156,-0.24353997,1.7378938,1.9214379,0.27553853,-0.5404026,0.5062802,0.8073836,0.37344325,-1.6621851,2.001988,0.71589583,-1.7561685,-0.46193883,-1.1330489,0.06826376,-0.6192488,-1.9987853,-0.15792659,1.40688,-2.4921505,-0.9558469,-1.1394229,0.7922619,-0.284174,-0.57312703,-0.7267724,-1.6317084,0.42231387
s1-16,-0.14864813,0.087186456,1.3508563,-0.29842904,-2.0833805,-0.74714863,3.647743,-0.9803082,-0.29257473,-1.7779449,-0.19944939,-2.1142213,-1.8258018,-0.45359132,-0.15749934,-0.0030484167,-0.50259495,1.5674455,0.45502818,1.938984,-0.07651719,-0.93361306,1.6251823,0.9199224,0.6203928,-1.8965411,0.382822,-0.5250727,-0.16384004,-0.50416416,-1.0975674,0.78788245,-0.74064595,1.1960334,1.320668,-1.4574895,1.6580805,0.70056117,-1.0020596,0.8040493,0.21291888,0.15876336,-0.11772934,0.21699408,-0.18258364,1.2028506,-2.3354774,0.6344031,-0.05131241,-0.3956839
s1-17,0.3872172,-2.251439,2.6905699,0.4375034,-0.5266112,0.840319,-2.9654472,1.2087148,-0.6971892,0.16048147,0.0022308717,0.045156084,1.301042,0.367118,-0.61272126,-0.64112914,-0.34343806,-0.62524724,-0.7094655,1.0174135,0.3681736,0.07780388,2.3495464,-1.2357529,1.0806261,-2.1397367,0.60317975,0.64316285,2.5872657,0.014518654,2.5619574,-0.5622893,1.3609717,0.627797,-0.053348023,3.7971497,1.8429068,-0.35618967,0.8658416,-1.3059396,-2.3686125,-0.62504137,1.2161771,-1.4379492,-2.272907,0.3791805,0.6707814,-2.4277172,0.65516937,0.75271904
s1-18,0.26406357,0.6626775,-0.009104289,0.009418037,-0.6224108,-2.4874809,0.2066787,1.8968575,-0.16259812,1.3125154,0.12271888,-1.1160625,0.96224314,1.4868509,1.0223703,0.4612781,0.26927364,0.14951396,0.96986306,-0.9354919,-2.4926186,2.078145,0.90199566,0.9456995,-0.99638116,-1.2561418,0.9122886,-0.72163135,-1.722499,-0.32019365,1.699161,-2.8258138,-1.601374,-0.2062821,1.0229722,0.35301185,0.28786197,0.4423203,-0.62305623,-0.89817107,-0.2744699,-0.77010435,-0.051429886,-1.1257533,-1.7601961,-1.4027698,-0.44291076,0.4558139,0.2226149,0.7904815
s1-19,-0.26632896,-1.7739085,-0.14738397,-0.3483907,0.11858641,-1.470135,-1.4349785,1.1625383,0.48202974,1.1157073,-1.9963644,-1.128467,1.2595217,1.5193589,1.1856742,1.2556518,-0.33904526,-1.4916779,-0.8898963,-2.3435376,-1.3036845,-0.108621545,0.43058115,-0.058691934,-2.3148017,-0.107831754,-0.5175756,-0.87031025,0.4174438,1.002806,1.7981039,-0.6401449,0.85609514,-1.5655742,-0.079039834,0.36536095,0.82941747,-1.6069989,-0.63192296,0.46258917,0.13176228,-1.6381385,-0.8342492,-1.4888437,0.16705234,-1.3767644,-0.5581203,-0.5384327,0.62759143,-0.8554339
