sample,method,PAS,CHAOS
S3,Cobolt,0.5,0.0758341807087825
S3,CLUE,0.301056338028169,0.0693656634588343
S3,StabMap,0.3776408450704225,0.0713518400415899
S3,MIDAS,0.1537558685446009,0.0657768871785594
S3,Cobolt,0.5,0.0758341807087825
S3,scMoMaT,0.1875,0.0712964901327652
S3,SpaMosaic,0.4688967136150235,0.0713403746068381
S1,Cobolt,0.6133754305396096,0.0788269980590494
S1,CLUE,0.409873708381171,0.0716917002672584
S1,StabMap,0.4962686567164179,0.0730636677519199
S1,MIDAS,0.3541905855338691,0.0669076444388456
S1,Cobolt,0.6133754305396096,0.0788269980590494
S1,scMoMaT,0.3415614236509759,0.0745603640834049
S1,SpaMosaic,0.4724454649827784,0.0692868430939823
S2,Cobolt,0.5123548675200953,0.0811195691387431
S2,CLUE,0.5058052991961893,0.0801590892465458
S2,StabMap,0.5995832092884787,0.0767460900329733
S2,MIDAS,0.4486454301875558,0.0739017040672717
S2,Cobolt,0.5123548675200953,0.0811195691387431
S2,scMoMaT,0.7505209883894016,0.0872139688022494
S2,SpaMosaic,0.5186067281929145,0.0729786350205309
