,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
s1-0,-0.005115704,0.071895435,-0.01121968,0.06127831,0.2736329,0.07182612,-0.09840899,0.07533914,0.0275236,0.20862056,0.10814658,-0.42871356,-0.14697492,0.16271204,0.08533752,-0.03296046,0.13121219,-0.038832206,0.025167415,0.0054692533,0.0865885,-0.016201241,-0.06803806,0.13896757,-0.019327134,-0.05922643,0.10083929,-0.047775436,0.02437267,-0.18832964,0.078884505,-0.042367794,-0.0034104623,-0.13814741,0.006861976,-0.03092068,-0.017666548,-0.13439584,0.009957298,0.050909128,0.05594765,-0.07460122,0.062031493,0.015512861,0.044583622,-0.2599621,-0.051331997,-0.06650039,-0.13390434,0.06407113,-0.08829238,-0.22767831,-0.22849959,0.14652798,0.19748528,-0.14895129,0.21393023,0.016964076,0.18266861,0.089245565,0.040589616,0.18271962,-0.0042198077,0.06425901,0.30221134,-0.31053412,-0.020959565,0.43322483,0.5143255,0.25576553,-0.042465806,-0.16622221,-0.24533066,-0.021393828,0.3753059,-0.17755938,-0.04444363,-0.1594118,0.20418492,0.1863235,0.32854253,0.15739393,-0.008848621,0.23843369,-0.03549487,-0.34267014,0.20527144,-0.18590614,0.2704299,0.062673606,-0.6754782,-0.1518915,0.19455972,-0.48668408,-0.15007028,-0.32821727,-0.026902828,0.06357932,-0.176848,0.83357203
s1-1,0.097851634,0.04045059,-0.06069261,0.06385835,-0.106404796,-0.0023999736,0.05272557,0.08321811,0.09878995,-0.13229671,0.0907392,0.06919326,-0.02615226,0.09851192,-0.15562594,-0.12451674,0.08739114,0.009480579,-0.024639573,-0.054796834,-0.079322346,-0.019139878,0.070964724,0.0023999847,0.033315703,0.082148015,-0.15780997,0.0430984,0.07276074,0.06540707,-0.0964724,0.019005954,-0.077611,0.09058493,0.007784469,0.023217594,0.12083098,0.03536834,-0.16337085,0.0842119,-0.2173082,-0.044918396,-0.015554618,-0.10641426,0.06998697,-0.325902,-0.08614208,0.1427032,0.0744936,0.016845576,0.17457893,-0.09989998,-0.0030454807,-0.08911985,-0.11161029,-0.222126,-0.24585295,-0.07712204,-0.5590285,-0.04310079,-0.0112758335,0.015797976,0.063446455,0.2724172,0.20642364,-0.14367399,-0.18758118,-0.02235781,0.17631498,0.4475327,0.3110958,0.14330444,-0.16201931,-0.025365409,0.31299657,0.11853755,0.18886602,-0.14934374,-0.037599124,-0.24659528,0.079221696,-0.10562746,-0.08628425,-0.123776585,-0.11208244,-0.26532626,0.4200629,-0.047965974,0.006896306,0.24611366,-0.4756364,-0.037168175,-0.08985908,-0.4048395,-0.12540093,-0.5278762,0.17604506,-0.026840623,0.08838612,-0.069674134
s1-2,-0.09127982,-0.04325444,-0.027259285,-0.05856257,-0.28582937,0.055875767,-0.068100736,-0.048980903,0.068565756,0.38635993,-0.00073063374,-0.16626824,-0.08201781,-0.06955389,0.19937712,0.15259025,0.06244824,0.16864441,-0.006804157,0.018490225,0.23722237,0.08280063,-0.06487822,0.021052439,-0.13733692,0.22400917,-0.06886765,-0.06605783,-0.097094625,-0.0606091,0.007633239,0.08613192,-0.26656365,0.1361004,0.012896061,-0.22598967,0.0041146316,-0.16000758,-0.04151146,-0.030622624,-0.21256088,-0.11739259,-0.20993252,-0.16014442,-0.13703206,-0.8854812,0.2584229,-0.024392173,-0.019345153,-0.0044502676,-0.19201392,-0.15404947,0.058603384,0.2881598,-0.328091,-0.21287787,0.078886285,0.016804662,-0.17285872,-0.13217756,-0.17283809,0.23935944,-0.14481159,-0.044175833,-0.4643143,0.09707636,0.022075117,0.010063471,-0.32146877,-0.009357922,-0.08347106,0.45342928,-0.0050830673,0.30932945,0.21975666,-0.39591956,-0.25952268,-0.04757949,-0.25969553,-0.3814022,0.026847007,-0.015734041,0.14885648,-0.18173751,0.1175389,-0.18952963,0.11146749,-0.040565588,-0.10466108,-0.096564524,-1.5405456,-0.36298132,0.31513456,0.2581649,-0.048795618,0.15131809,-0.5258584,-0.5207765,-0.017079175,-0.053646266
s1-3,-0.15897915,-0.06579442,-0.053527128,0.06631681,0.09853202,0.06899909,-0.056217268,0.12528948,0.09020901,-0.020230364,-0.13317908,0.29260862,0.022233505,-0.1471541,-0.07136381,-0.037399415,0.10713633,-0.010740496,-0.065173976,-0.13086897,-0.1443739,-0.17660992,-0.037108622,0.1479907,-0.1999943,-0.059945468,0.11367248,0.15558349,0.020152077,-0.09183913,0.019482058,-0.066735074,0.0061278595,0.0644156,0.14329128,0.000748571,0.16440207,0.11612115,0.03889961,0.055304263,0.08180702,0.01805912,0.2037367,0.029543448,0.09897838,0.35681358,0.08240724,0.13718313,0.030433265,-0.21144363,-0.330173,-0.24248368,-0.18195061,-0.090786576,0.45920372,-1.388202,0.2712115,-0.29261926,0.3435393,-0.48981652,-0.22429502,0.38899398,-0.037510842,-0.3728394,0.2084144,-0.40160328,-0.013221748,0.36985666,0.087369405,-0.56639016,0.07919172,-0.2927813,-0.13617586,0.3006212,0.105401024,-0.3280192,0.058323547,-0.19444874,-0.24757552,-0.076151915,0.4534524,0.10693224,-0.13626665,-0.6517632,-0.13415845,-0.62535787,0.31619453,-0.3423738,0.3849779,0.02382936,-0.1684929,-0.28819788,-0.2796054,-0.16970019,0.5058235,-0.35319996,-0.03861267,0.10845645,-0.4307443,0.11428622
s1-4,-0.0159824,-0.0035050008,-0.04151021,-0.043189995,0.5933119,-0.12913758,-0.037386037,-0.10844298,0.04367178,0.09563472,0.062838435,0.07665402,-0.013296757,0.08823915,0.020249162,-0.014471469,-0.054488294,0.04242532,0.060151026,0.15127558,0.23371719,0.071823895,-0.04845425,0.11644037,-0.20533836,-0.021340936,-0.0633728,0.06184186,0.0012114216,0.071648754,0.044649385,-0.104125366,0.0060587972,-0.023506772,0.10147707,-0.08952722,-0.049165867,-0.12612191,0.09826787,-0.17101976,-0.06585495,0.04839802,-0.011316802,-0.06303111,0.020805491,0.027460672,0.10351851,0.08964507,0.005132947,0.059047088,0.017902302,0.04712461,-0.024345547,0.23262635,0.22680587,0.32565755,0.11691414,0.0873481,0.056451976,0.1980674,-0.064531215,0.085410304,-0.24436516,-0.09865718,0.0035855668,0.0072005056,0.039873213,0.15026437,-0.1088937,-0.2149615,-0.011808306,-0.106836766,-0.060371887,0.24013457,0.26333052,-0.046448056,-0.042010896,0.0007962268,0.12683502,0.016169209,0.15348893,-0.21247049,0.18375209,0.07678125,-0.2644196,-0.12399053,0.0516431,-0.10958825,0.38595045,0.14079107,0.4202786,-0.020770807,0.49336946,-0.04621427,-0.07801864,-0.032276332,-0.36687565,0.17109662,0.06540047,0.1769914
s1-5,0.05015231,0.010363821,-0.062173918,0.02720336,0.33368304,0.018871054,-0.039441302,-0.0042696,-0.051851537,0.09060122,0.008010274,-0.032840893,0.0077471696,0.030322505,0.008205691,-0.073428355,-0.055657342,-0.06875769,-0.00061719306,-0.023477139,0.2198533,0.06850628,-0.080629624,-0.032103315,-0.058156192,0.0054934546,-0.008865867,0.021973707,-0.14855811,-0.09938886,0.0017670109,-0.10600193,0.032087263,0.010710014,-0.0579282,-0.049267113,0.04971908,-0.010034708,0.008781107,-0.052994367,-0.074163236,0.013107549,0.0958295,-0.15863028,0.06386718,-0.29273346,-0.027577296,0.036063835,-0.0730299,0.0898838,-0.043074265,-0.13645856,0.10237156,0.38902792,0.025191005,-0.25630382,0.03269355,-0.006190162,-0.10261639,-0.4646201,-0.0902247,0.14495979,0.13020343,-0.284027,0.22134341,0.089667395,0.088138156,-0.46241456,-0.10009092,0.36759797,-0.3055326,0.085141726,-0.085628115,-0.028740067,-0.30920583,-0.1551797,0.122737095,0.009564687,-0.32630792,0.123791754,0.118727356,0.20567094,-0.24099758,-0.03046064,-0.038267434,0.0030158013,-0.008446693,0.061566584,-0.21476534,-0.09167137,-0.2875557,0.017629907,-0.20695025,0.007386625,-0.31119347,0.120787024,0.23346142,0.07223198,0.10736683,0.16475007
s1-6,0.045875624,-0.0027386453,-0.018751828,0.033474475,1.1389413,0.057150856,-0.028707651,-0.15550312,0.06968978,-0.09331182,-0.034138594,-0.52796674,-0.14884973,-0.14138938,0.21237376,-0.017462756,-0.05660449,0.12212625,-0.011706799,0.068901405,0.08556467,0.11784823,0.052552883,-0.0011817692,-0.026111934,-0.025386969,0.0052594324,0.07683119,-0.08069676,-0.04404055,-0.059375443,0.0048866756,-0.07274675,-0.045142394,-0.020716058,-0.16165668,-0.0039319424,0.12078847,0.086375915,0.019624833,-0.17741993,-0.077915005,-0.020877218,-0.10877561,-0.005043621,0.19063024,0.2126445,-0.056616127,-0.050484747,0.062075786,-0.16807115,-0.17613077,-0.060026553,2.400735,-0.4237054,-0.06123221,-0.06055718,0.10416059,-0.26539147,-0.13599657,0.18066789,0.009007465,-0.020780442,-0.16494407,0.14038146,-0.10193012,-0.006926302,-0.09934905,-0.076996535,0.3704988,-0.14514264,0.17532295,-0.021949507,0.07612385,-1.0189753,-0.07679982,0.20839733,0.17526743,-0.1616977,0.112749465,-0.029765874,0.25702965,-0.06582162,0.0062058177,0.065459415,-0.102589235,0.15547849,0.11603081,-0.4003741,-0.073794045,0.83180976,0.05363222,-0.015064482,0.19727573,-0.3104328,0.39896765,-0.12600227,0.063146785,0.026039138,0.3973452
s1-7,0.08082767,0.046131376,0.02966327,0.010859562,1.0633453,0.082338154,-0.18098916,0.0429885,0.075979546,-0.12100194,-0.038350713,-0.3824501,0.020059334,-0.08770781,-0.08663495,-0.021396268,0.14699608,0.04010249,-0.045159448,0.12718333,-0.13991569,0.008589787,-0.058208566,0.10107647,0.21717435,-0.06092091,0.081892036,0.23623386,0.12063205,0.007355931,0.021527693,0.012280205,-0.023993798,-0.1357469,0.002671577,0.0038246992,0.01535285,0.008380592,-0.004143445,0.003929754,-0.06430363,-0.1587379,0.04907692,-0.10879071,-0.009703781,-0.21902451,-0.21121565,0.04859981,-0.035278708,-0.16981341,-0.15687683,0.2711547,0.03651918,2.771398,0.32792225,-0.05292147,-0.32692584,0.098903485,-0.22940603,0.04350417,-0.17484266,-0.010353655,-0.15958992,0.12809631,0.06586465,0.23376083,0.09468421,-0.24208164,0.1684767,0.10690954,-0.26408613,-0.2303063,-0.063752264,-0.01910717,-1.0854521,0.19937244,0.11304464,-0.04759689,-0.057797626,0.18945237,-0.023393746,-0.040786594,0.029464334,-0.15381953,0.05740276,-0.059022017,0.34341222,0.13411075,0.07970054,-0.115749896,0.10467385,0.075051665,0.18383262,-0.10592869,-0.01995565,-0.22187649,0.109184325,0.065314785,0.15257728,-0.2878914
s1-8,0.043835297,-0.11167541,-0.06074591,0.0070538223,1.1297809,-0.0013715066,0.061208557,0.011870653,-0.029229194,-0.097407825,-0.20725895,-0.3603012,0.037424874,0.034026667,-0.08942555,-0.035792723,0.0066319313,-0.019838087,0.08433987,0.0016708905,-0.21467867,-0.055634614,-0.13842629,-0.047994338,0.02082818,-0.005854275,-0.08499255,0.00022676773,-0.05253407,0.07862548,0.13367322,0.0062267557,-0.21231681,-0.056957707,0.022944987,-0.11898643,0.0034427438,-0.06319824,0.14033376,-0.14728889,-0.065420985,-0.020651923,-0.33427322,0.07265768,-0.027123319,-0.12942569,0.1029827,0.08122386,-0.026620958,-0.089315176,-0.10934075,-0.11140453,-0.22723174,2.0392594,-0.0680922,0.4393697,0.20160963,0.0067324247,-0.07103957,-0.25564623,-0.02536519,0.27240407,-0.06466636,-0.017943565,-0.1069332,-0.16128455,0.26427346,-0.106027156,0.1934691,-0.47038195,-0.2664069,-0.30483523,0.21587302,0.19405799,-1.5669291,0.09657496,0.1657171,0.046682015,0.10038818,-0.0986525,0.067459606,0.08354125,-0.103643864,-0.5799384,-0.09695446,-0.34869698,0.1203307,-0.08304362,0.19289961,-0.3006801,0.5440362,-0.16408952,0.31104985,-0.110133946,0.25989604,0.38425836,-0.15488811,-0.058753066,-0.23813348,0.119442865
s1-9,-0.14589086,-0.08838684,-0.007246129,-0.18037239,1.4204955,0.060086943,-0.033499826,-0.03502853,0.049166936,-0.017753154,0.064764515,-0.1289496,-0.04802997,-0.03248437,-0.23990135,0.006126673,-0.25986415,0.07703345,0.031171102,0.11193977,0.2052786,0.016226279,-0.14123088,-0.06138052,-0.06973596,-0.17097859,0.005847372,0.17790571,-0.13725181,0.10916245,0.06575832,-0.12833047,-0.06608173,-0.03216896,-0.041548174,-0.00302963,0.009360489,-0.012482714,0.110318266,-0.20825848,-0.18866982,-0.02438571,0.09112637,-0.060140684,0.07314788,-0.06556051,0.0476182,0.058527716,-0.19292124,0.01261434,-0.08048341,0.054538377,-0.041690916,2.528642,0.41882253,0.1411004,0.06971297,0.20261043,0.35094786,0.49155352,0.04384784,0.028357053,-0.17804426,0.32116884,-0.34802613,0.025294166,0.08423359,-0.056601673,0.23280132,-0.6399872,-0.23156895,-0.12886856,0.3004875,0.02239392,-1.1403372,0.1159394,-0.12956491,0.018527955,0.14531618,0.049241193,0.116314635,-0.2129036,0.2932442,0.3711315,-0.17014846,0.10887787,-0.28769985,-0.39154232,-0.044837605,-0.16001709,0.7414816,0.037814476,0.27043086,0.18564656,0.33911133,0.00442476,-0.35131073,0.50141597,0.13198861,-0.072545886
