,all,bridge,test-rna,test-atac
CLUE,0.6542134561078269,0.8064119485224275,0.714385688778372,0.4830078808510061
Cobolt,0.5290256859928706,0.7045699705882366,0.482732909058254,0.4499379129376602
MIDAS,0.4544426179451426,0.7216159519832938,0.4300462886317819,0.4154298113929439
scMoMaT,0.5814870117943719,0.8571227468632717,0.6041423056788214,0.3833583667091964
SpaMosaic,0.8920316780719555,0.9891272640357992,0.9283409229483072,0.7705971297979488
SpaMosaic (non-spatial),0.6699747130234328,0.8643313568284794,0.6497188764432574,0.5331797395256407
StabMap,0.4881182590745818,0.6363601973499231,0.4788137427049733,0.4281487775081298
