,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
s1-0,1.646929,-0.27666053,-0.38539958,0.9672689,-2.916141,1.7900547,-1.9153992,0.45814282,0.08171647,0.51045036,1.1444861,2.9835258,0.34366617,0.87258106,0.4123654,0.12348088,2.1451278,0.5787144,-2.8382666,-3.3378565,-0.9414552,0.93837696,-0.82914245,2.0689318,-0.13834134,-1.8201643,1.3432455,1.6952386,0.89367366,0.97321856,-0.17581144,0.7187502,0.371133,1.1990747,-0.8170405,1.7457879,0.6072719,1.7366827,-1.3783797,1.0000169,-0.2376636,-0.3501691,-0.25921974,-1.7166184,0.1700241,0.9949992,-0.9293221,1.4907292,-0.13228138,-0.10241148
s1-1,0.054738913,0.28493008,-0.1314453,0.6500322,-2.4071503,-0.93249184,0.014549419,-0.6670438,-0.63514704,-0.77230144,-0.14671426,1.5473725,-1.3006735,0.4993154,1.2051059,1.86985,-1.2634778,0.067665696,1.2616513,-0.8167918,1.1273775,-0.27253938,-0.5021841,-0.26827118,-0.31652364,1.0904862,1.7571716,0.17707495,2.2040884,0.2346927,0.7734959,0.95718694,0.7917385,-2.3456252,-0.5709504,-1.5922612,0.6460514,0.612652,0.06406852,-1.9678203,1.2545303,0.68991226,1.2425072,0.37073827,-0.678706,-1.299027,0.27452317,-0.45192343,-1.2578615,-0.3607355
s1-2,-0.15467781,0.36900315,-1.1836128,-0.57966334,1.3917881,0.37948564,-0.46889612,-1.0794097,-0.7536193,-0.5483175,0.03844919,0.8091441,0.6016028,0.031495012,-1.9873551,0.5188556,-0.24573115,1.3613322,0.09813833,0.6120974,1.4482268,1.2051352,1.1419936,-1.109015,1.1403805,0.16216359,0.600078,-2.1881554,-0.70977855,0.33974978,-0.2430032,-1.7534237,-0.5389419,0.8656554,-0.7117703,-0.86005867,-1.0943005,-1.06911,0.5173819,0.18356046,-2.9811032,0.6990818,1.3788443,-0.050446995,0.7588183,0.08943709,0.87620753,-0.37223724,0.13175713,-2.1012685
s1-3,0.79896605,-0.73503476,-1.2880365,-1.6088449,0.34402323,1.7765905,0.5626109,0.01800366,-0.24779068,-0.902189,4.364812,-0.4781778,0.39272967,-2.1617324,1.0251398,1.1125882,-1.9374105,-2.142782,-1.3147937,1.2177025,0.12935947,0.56375253,-0.5089968,0.91353947,0.37229407,-1.5007406,-0.2961047,-1.4795762,0.027956022,1.366608,0.09032804,0.018408088,-1.4572132,1.2599319,4.049136,2.3441346,-0.31388223,0.5693323,0.34815204,-1.493324,1.8692896,0.9581696,0.4088348,0.020481363,0.19971326,0.05342578,0.36424577,0.000508725,0.07112043,-1.5595515
s1-4,-0.55368274,1.7494836,-0.77142274,-0.49138808,-1.5290078,-1.2230176,0.4577344,-1.2770617,0.3440672,-1.3509227,0.1701052,-1.647415,-1.304045,-0.6339548,-0.92228115,0.82219034,2.8992412,-1.6169044,-1.6852081,1.9098811,0.9367017,0.011657018,-1.91596,0.9206045,0.088478364,-1.129519,-3.0168054,-0.4626006,-0.4053461,0.39105046,0.9651096,0.36450177,-0.5071131,1.7824032,0.9903622,0.98305553,-0.20047796,-0.71564907,1.449078,-1.5193751,0.06540964,0.5189244,1.4855009,-1.3841857,-0.1667992,0.32777664,1.4464793,0.86071,1.0092947,1.9383504
s1-5,-1.1505498,-1.1612705,-0.14154841,0.83282185,-1.200272,2.4843364,0.8590361,0.35439724,-0.85860765,-0.115114555,1.9377568,0.43792427,-0.7670997,0.20990176,-0.6411443,0.13261767,-0.08149382,0.023227904,-2.4756517,-0.2715567,-1.9627994,-0.18622448,-1.8611988,-0.8487191,-3.6143637,2.45829,0.967761,-0.1127405,-0.14873704,0.079318665,1.2908552,-0.64015645,-1.6384283,-1.9059807,-0.6544836,0.93451685,0.9069076,0.31490138,-0.3256204,-0.98549104,0.21597666,0.1636241,-2.0238943,-0.99915475,-0.2084939,0.012521454,0.19857007,0.64505196,-0.8431713,-1.9290783
s1-6,-1.2669356,5.1860375,1.8582759,2.228084,1.8751118,-0.30714938,0.9714782,-0.5192129,-0.19466968,-0.23399168,-0.575069,-0.061727904,-1.4986309,1.1678381,-0.6410724,0.4507445,-0.8387268,1.0341337,0.78517675,0.5863826,-1.3869201,0.51950246,0.08716251,0.09637383,0.19286719,1.1465311,0.16432434,0.69261056,0.6073524,1.566703,0.7731473,0.8669574,-0.37507176,0.014552392,0.69672596,-0.44183388,-1.3157649,-1.5186356,0.104923375,0.23794594,0.9799023,0.7081417,-0.60875213,0.36284614,1.220147,-0.30302918,1.2204231,-0.28007424,-0.29566014,-0.2479341
s1-7,-3.2784107,4.6530457,2.1902626,0.311061,1.6689891,1.1948668,-1.2360425,0.6149301,-0.78567624,0.85008967,-0.6426696,1.4826704,-2.117081,-0.11143615,3.0405982,0.27521592,0.422044,-0.08797937,1.8141454,0.5767864,-0.70248204,1.1186172,-1.536562,0.31580663,0.2595616,-1.6047323,-0.6003396,-0.9238952,-0.20956385,0.032114718,-0.8352947,0.053774845,1.0853049,-1.3521327,-0.12989056,0.56397307,-0.032274112,-0.12023483,-0.11083919,0.67079914,1.1485101,-1.5134517,-0.6239298,-0.24897237,-0.4753495,0.11120129,1.183049,1.6099712,-0.3723743,-0.52690095
s1-8,-2.651871,4.2987523,0.8977433,0.18659703,1.191402,-1.3957504,-0.7280698,1.1457205,-0.8362917,-1.4659309,-1.0519704,-0.882758,-0.5863487,0.6386199,0.6530222,-0.22361901,-0.55486155,-1.1116116,-0.52030593,0.70245546,-0.34772393,0.40683842,-0.20608391,0.41796696,1.0804179,-0.27042925,-1.0155677,0.2641511,0.38842148,-0.7153087,0.40934464,0.30299532,-1.5948526,0.8891435,0.08915013,0.2561851,0.75499445,0.19871949,-1.084009,0.60369503,1.0794272,0.114655405,-0.3211959,0.27259737,0.7245111,-0.40383503,0.71683747,-0.69488674,-1.0082403,0.019991403
s1-9,-2.3306391,5.2096763,2.465391,1.8824452,0.44920614,0.85241634,0.4728224,-1.8491156,0.17267458,-0.2591051,0.77101415,1.0213109,1.3752383,1.4834293,1.0787731,0.041634873,-1.7035775,-0.0029475216,-1.4047623,0.041487608,-1.3567461,-0.056626026,0.22479086,1.1984153,0.117504574,0.039386425,0.8025467,0.55338526,-0.88654685,-0.05115803,1.4255472,2.5115047,-0.650411,-0.45025128,-0.39575177,1.3046964,1.0477079,0.98472434,-1.2027063,-2.2584412,-1.0577449,0.7452935,-0.2423069,-0.8086981,0.9491941,-0.26540184,0.0002597854,-0.7123089,-0.473063,0.70766675
