,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
s1-0,0.170666331983631,0.857009412699896,-0.369903581269854,-0.298075071030271,0.366442196954472,1.06127298550098,1.22538908780694,-0.62489382993204,1.83459723339646,-1.55925434880772,-1.50293867639479,0.510452187396273,1.30772135930479,1.63290275393265,-1.59762427455257,1.81686220775177,0.927217430729046,0.857673732775211,0.336308811960586,-2.16237326861574,-3.92255953179627,0.85972279552166,0.70363660869195,0.170008801547165,2.2007214999352,-1.28235526918001,2.32946266208214,-0.648202267809962,-1.82017227837902,-1.56554290754675,0.546514951947919,-2.22867777421531,0.0555879219725833,1.40578638136176,-1.13771438443098,-3.71226456295527,-0.702194346135012,0.432363532591804,0.716770089773598,0.434346916919281,1.41533897338921,1.43484410186073,-0.697102335956266,-2.36056396900401,2.07832048618873,-0.429062529424179,0.877588069589941,1.32020928590151,0.494060248691679,2.29079489339486
s1-1,-1.46913051529524,-0.321796220179693,2.16179275068196,1.72694489184198,0.916481092585412,-1.35224845796752,-1.64909388573667,1.0616404477476,-1.20133419656155,0.695541914952207,1.89756738329808,0.390395843577532,1.04784433637506,-0.940418653320782,0.830363859914654,-0.895926897837332,0.25730338068515,-1.12383092933055,-3.21881284999098,1.44081765038447,-0.493303932852724,2.31035220787324,-0.456749839120126,0.0956709054975232,-1.28245714874941,-0.638498851970751,-0.971679498861071,0.495514201781644,0.880214027157703,1.59382268069242,0.148776042643953,-1.22558031306047,-1.36418397208656,-1.4014521759197,0.354478663554482,0.726561377819681,1.50109645610476,1.69071126981292,-0.32565994398507,1.90165535343332,0.996479977554731,-1.831694760774,-1.84298020082672,-0.493407616083105,2.20536777390324,1.50550834541342,-1.53037453731803,0.91588789615567,-0.647484983592127,1.77829389158458
s1-2,1.51268591406703,-0.107893874654001,1.68839761914195,0.618815518926443,2.17881559548988,0.406299135951501,1.12698279842442,0.995228593386965,1.14132955655413,-0.3858047082215,-0.375585556764629,1.67173575293444,-1.32900561351098,1.58385199758662,1.34928000133382,-2.02135952384079,1.19943289974777,0.0047668621024712,0.388965487719944,1.95463214559246,0.912028674241043,-2.47540446427015,1.93839856009106,1.02896610572257,-0.516317581833773,-1.81660154476738,-1.53080334829621,0.581157706164944,2.05920593181098,1.91960931683762,-2.66359557494975,1.34254425200568,-1.09325293596361,-0.245771054592883,-2.74751636553259,-1.88258691771053,0.425584637851934,-1.43840392867816,0.952629285758469,1.18314668220807,0.493930432205945,-2.00650215350112,-0.303787283907432,-1.97131954709945,0.860957799968934,0.244180490471537,0.615409198882225,-3.13783846181731,-1.30415074599951,-0.624956720117124
s1-3,-0.103843866254495,0.77879432026815,2.37334792230459,-1.80291064779054,1.41747824227454,-1.14410022299957,-0.235387934898695,-0.0034702880559694,0.63298294691279,1.48347446612188,-0.234521406569251,-0.0713317383463334,-1.24031828812584,-3.06565531837848,-0.853201183820543,-0.939520867168576,0.688281988839067,0.635962521822173,0.296115529833385,2.16300315404266,-1.01415444362215,-0.107034714892134,0.661705790370864,1.37850292666512,-0.630685337289962,-0.700614706499669,-1.0294194376756,0.481384598163702,-1.17079778355655,-1.45471412206869,0.543963672507799,-0.13252973844102,-2.14684683652271,-0.356033557744576,0.415784835030578,1.06715737330609,-4.00685577298408,-0.512307538457499,0.473151275922752,-3.45063659468074,1.04352315688319,-0.467939544010028,-0.820806778395167,0.777845525323203,-1.10846565348558,-0.963602746096852,-0.108412748992407,-1.61851812536274,-0.682764105421729,0.288089767345655
s1-4,-0.544791115055874,0.948487248950008,3.1146193476201,1.12730426220374,2.27612420601139,0.447469116486731,0.1277368281022,0.419614999677605,-2.14205159464778,-0.319838213446366,0.256398690875085,1.14189703381237,-1.80113519736386,-0.854808302593256,-1.72535023385256,-0.199732411176542,-1.75814646885893,1.33628618148892,-1.72680495236242,1.03955119466406,0.309071891944915,-2.00193981451736,-0.745041860427691,1.84525539388517,1.24144263958625,-1.7465734910307,-1.97724813004549,0.592390508564628,0.980678577916222,0.291490857316647,-0.330999552805194,-0.208417649918719,-2.21368224266517,0.918134169460432,-1.92657129091866,-1.71422299050344,-1.16664573784651,0.524872420971834,3.50232210302238,0.249549338400987,-0.912174942282585,1.60601434087891,-2.04650965289015,-0.294157297253783,-0.582283096855863,-0.654532262468847,-0.279049008957715,-0.972525441676965,1.80604417342839,-0.0287301563639557
s1-5,-0.783906783730298,-0.953912176985188,0.0825645317662806,0.203174896963559,-0.487499044098619,1.7172649850473,0.72712025973652,-0.778876218739288,-1.37373656964357,-2.25366208697433,-0.82814723704617,0.922253109266808,1.01943094693973,-0.215280555348041,0.503961633258361,0.0371895669325908,-2.09190507084974,-3.73499144907672,1.16276079171139,-0.583034053899458,-0.290430918864546,-0.679313446801529,-2.39097299029179,-3.35131427239469,0.724608611845211,0.563181503479113,-2.72611654591663,-0.419493100944994,-0.677296717286959,1.34452858603192,1.7055517402928,-0.863957273830305,1.85201218589076,3.73333243115959,0.196439449384133,-2.58021363094763,-0.979396729862968,0.48413314126663,0.889714091887389,0.277255768413781,0.170658216267129,-1.30165414565652,0.783729117354582,1.53767240583398,0.398012572195192,-0.719025409441437,1.56610998232589,0.328163311999248,-0.595008697322791,1.41489564183854
s1-6,-2.10191721700557,7.61984790426756,-2.15961453299301,1.49361826960945,1.3581125230864,-0.176462180908898,0.211875304577817,-1.02919541510011,1.59691034789676,2.91372093472175,3.0653736074876,1.01602947461418,1.58712844703022,-0.857490052223776,0.560416407189644,-1.04885355838446,1.28141216311441,-3.39870129239797,-0.615230576831497,-0.713757157321178,-0.704249425532307,-1.06577651591609,0.818589146107432,0.701316940340467,-0.994525982848648,-0.812782026772762,1.52686733050395,0.976365725652786,1.3909819516675,1.10296239817447,0.970781309660268,-0.557240945342145,0.550686676747892,-0.407562180874521,2.08089667175797,0.591889896647512,0.3984491535482,0.204549932750019,-0.0250490999075436,-1.68595094944621,0.61963432870043,0.48526140510251,0.0364188561871394,-1.68999613499743,-0.785171192236596,1.13460584217763,-1.63548324925679,-0.690753321339631,-0.999426730333941,1.19887090715312
s1-7,-2.08655012312729,7.2842290245142,-3.04749025238825,-0.246000279469105,0.720560896619655,0.229780433737428,5.06461098871464,1.41668268622402,1.60331880793936,-0.483194973797191,-1.06690574469765,1.23885729553377,-0.952313893579762,0.0964888869264159,1.03128966884547,-0.438566295291853,-0.283346811058076,0.0421826909208816,2.45297501742267,2.90762196064998,-0.725698230165994,1.29578142136415,-1.34663061241999,0.453541930162643,0.854637037730835,-0.128986430349982,-1.21359968952195,-0.102693400477925,0.612424126618406,-0.662915309717192,2.77753377563765,-0.487745349795417,0.868615739702875,-1.038365925655,-0.249121540955119,-2.447155805637,1.18940635355745,-0.464383458218796,0.961988484009604,-0.149833779294818,0.870247849614636,-0.316370107069553,-0.73247635744176,0.382137685546521,0.572770937603647,-0.455639288809009,1.06431210980638,1.85057151954472,0.808614883882132,1.25397613519701
s1-8,-2.49589615586998,7.55634907350724,-3.08893595149086,0.508905124940052,0.617555252304679,-0.896518628164413,-1.27436135460775,-1.10677250154892,-2.04650680870592,-0.151147817473975,0.0163025561705293,-1.30252100639714,-0.465202669822272,-2.11352968052837,0.187558417472427,-0.257450847923056,-1.68239266972762,-0.31911867561673,1.06955239282904,-0.0004311719422436,-0.428052245899099,-1.52907983994067,0.836423447642218,1.5587602489026,-0.351280282867877,-1.9997318722768,-0.381095804386326,0.170224656424833,-0.031824830503017,0.860314596640168,0.161928134343253,-0.52091037594318,0.0438697740746467,-0.755906447707328,1.31828013414011,1.34223083601875,-0.434159302048475,-0.942169469082319,-0.63876697359464,-0.308887344062639,0.0983341601547457,-1.04773693683078,1.38228677308524,-0.199637208409062,0.202951200658549,0.31747956593989,-0.866364530095379,1.16314291324807,-1.290989825098,-1.8130955444671
s1-9,-1.78958082510803,8.09067990235889,-2.73636589635114,1.52789575015109,1.07522877413179,-0.623573748583912,1.76097155187271,0.0139156716050969,2.90998755522092,-0.865348489091958,0.235661042344071,-2.20782780216036,0.424662095503022,1.29113407333395,0.0004477666870799,-0.772142137766865,0.873440415775806,-1.17213893717558,-0.58109615963748,0.430451090540589,-0.380983973975803,-0.675002883980084,0.958368332266655,1.36912810009866,-0.135039127151959,-0.91437511916577,0.2912167592818,-0.335072205018026,-2.31866635908931,-0.738406159414417,0.408988899864015,-1.2132723860538,0.137485775373521,0.777661253683287,-1.63150838789763,0.457472080700566,0.102245678841213,0.921963270592428,-0.70887040599672,-1.49826024240202,-0.155856364444982,0.125462201706312,0.111968255184619,-1.20436938368534,1.44836019754587,1.22328179434666,-1.03638625498237,0.719899018521406,-1.57456011392709,2.55799015349461
